,year,doy,hourmin,temperature,humidity,wind,pressure
117,2012,280,900,290.83,77.0,0.0,1018.0
118,2012,280,1000,290.99,72.0,1.0,1018.0
119,2012,280,1100,291.16,68.0,0.0,1018.0
120,2012,280,1200,291.27,77.0,0.0,1018.0
121,2012,280,1300,291.19,72.0,2.0,1018.0
122,2012,280,1400,290.8,77.0,0.0,1018.0
123,2012,280,1500,291.05,72.0,2.0,1018.0
124,2012,280,1600,292.73,68.0,1.0,1018.0
125,2012,280,1700,294.11,64.0,2.0,1018.0
126,2012,280,1800,295.43,60.0,2.0,1018.0
127,2012,280,1900,296.69,56.0,2.0,1018.0
128,2012,280,2000,296.32,60.0,2.0,1017.0
129,2012,280,2100,295.51,60.0,3.0,1016.0
130,2012,280,2200,295.11,60.0,4.0,1016.0
131,2012,280,2300,294.94,64.0,3.0,1015.0
132,2012,281,0,294.64,68.0,2.0,1015.0
133,2012,281,100,293.66,73.0,3.0,1015.0
134,2012,281,200,292.54,73.0,2.0,1015.0
135,2012,281,300,291.79,73.0,1.0,1015.0
136,2012,281,400,291.18,73.0,1.0,1015.0
137,2012,281,500,290.48,77.0,0.0,1015.0
138,2012,281,600,290.08666666700003,78.0,0.0,1015.0
139,2012,281,700,289.693333333,80.0,0.0,1015.0
140,2012,281,800,289.3,82.0,0.0,1015.0
141,2012,281,900,289.03,88.0,0.0,1015.0
142,2012,281,1000,288.61,82.0,0.0,1015.0
143,2012,281,1100,288.47,82.0,0.0,1014.0
144,2012,281,1200,288.38,77.0,0.0,1014.0
145,2012,281,1300,288.42,77.0,0.0,1015.0
146,2012,281,1400,288.43,77.0,0.0,1015.0
147,2012,281,1500,290.1,77.0,0.0,1015.0
148,2012,281,1600,291.79,72.0,0.0,1015.0
149,2012,281,1700,294.85,73.0,0.0,1015.0
150,2012,281,1800,296.77,64.0,2.0,1015.0
151,2012,281,1900,297.68,64.0,2.0,1015.0
152,2012,281,2000,298.09,60.0,3.0,1014.0
153,2012,281,2100,298.04,44.0,5.0,1014.0
154,2012,281,2200,297.86,60.0,2.0,1013.0
155,2012,281,2300,297.28,64.0,3.0,1013.0
156,2012,282,0,296.36,69.0,3.0,1013.0
157,2012,282,100,295.21,73.0,3.0,1013.0
158,2012,282,200,294.08,78.0,1.0,1013.0
159,2012,282,300,293.39,78.0,1.0,1013.0
160,2012,282,400,292.52,78.0,1.0,1014.0
161,2012,282,500,292.09,78.0,0.0,1014.0
162,2012,282,600,291.65,83.0,0.0,1014.0
163,2012,282,700,291.24,83.0,0.0,1014.0
164,2012,282,800,291.1,83.0,0.0,1014.0
165,2012,282,900,291.38,83.0,0.0,1014.0
166,2012,282,1000,291.71,77.0,0.0,1013.0
167,2012,282,1100,291.85,83.0,1.0,1013.0
168,2012,282,1200,291.76,77.0,0.0,1013.0
169,2012,282,1300,291.62,77.0,2.0,1013.0
170,2012,282,1400,291.57,77.0,0.0,1013.0
171,2012,282,1500,292.25,73.0,1.0,1014.0
172,2012,282,1600,293.66,73.0,0.0,1014.0
173,2012,282,1700,294.65,73.0,1.0,1014.0
174,2012,282,1800,296.39,68.0,2.0,1014.0
175,2012,282,1900,296.46,53.0,4.0,1014.0
