year,doy,hourmin,temperature,humidity,pressure,wind,firecount
2012,280,900,290.83,77.0,1018.0,0.0,F
2012,280,1000,290.99,72.0,1018.0,1.0,F
2012,280,1100,291.16,68.0,1018.0,0.0,F
2012,280,1200,291.27,77.0,1018.0,0.0,F
2012,280,1300,291.19,72.0,1018.0,2.0,F
2012,280,1400,290.8,77.0,1018.0,0.0,F
2012,280,1500,291.05,72.0,1018.0,2.0,F
2012,280,1600,292.73,68.0,1018.0,1.0,F
2012,280,1700,294.11,64.0,1018.0,2.0,F
2012,280,1800,295.43,60.0,1018.0,2.0,F
2012,280,1900,296.69,56.0,1018.0,2.0,F
2012,280,2000,296.32,60.0,1017.0,2.0,F
2012,280,2100,295.51,60.0,1016.0,3.0,F
2012,280,2200,295.11,60.0,1016.0,4.0,F
2012,280,2300,294.94,64.0,1015.0,3.0,F
2012,281,0,294.64,68.0,1015.0,2.0,F
2012,281,100,293.66,73.0,1015.0,3.0,F
2012,281,200,292.54,73.0,1015.0,2.0,F
2012,281,300,291.79,73.0,1015.0,1.0,F
2012,281,400,291.18,73.0,1015.0,1.0,F
2012,281,500,290.48,77.0,1015.0,0.0,F
2012,281,600,290.08666666700003,78.0,1015.0,0.0,F
2012,281,700,289.693333333,80.0,1015.0,0.0,F
2012,281,800,289.3,82.0,1015.0,0.0,F
2012,281,900,289.03,88.0,1015.0,0.0,F
2012,281,1000,288.61,82.0,1015.0,0.0,F
2012,281,1100,288.47,82.0,1014.0,0.0,F
2012,281,1200,288.38,77.0,1014.0,0.0,F
2012,281,1300,288.42,77.0,1015.0,0.0,F
2012,281,1400,288.43,77.0,1015.0,0.0,F
2012,281,1500,290.1,77.0,1015.0,0.0,F
2012,281,1600,291.79,72.0,1015.0,0.0,F
2012,281,1700,294.85,73.0,1015.0,0.0,F
2012,281,1800,296.77,64.0,1015.0,2.0,F
2012,281,1900,297.68,64.0,1015.0,2.0,F
2012,281,2000,298.09,60.0,1014.0,3.0,F
2012,281,2100,298.04,44.0,1014.0,5.0,F
2012,281,2200,297.86,60.0,1013.0,2.0,F
2012,281,2300,297.28,64.0,1013.0,3.0,F
2012,282,0,296.36,69.0,1013.0,3.0,F
2012,282,100,295.21,73.0,1013.0,3.0,F
2012,282,200,294.08,78.0,1013.0,1.0,F
2012,282,300,293.39,78.0,1013.0,1.0,F
2012,282,400,292.52,78.0,1014.0,1.0,F
2012,282,500,292.09,78.0,1014.0,0.0,F
2012,282,600,291.65,83.0,1014.0,0.0,F
2012,282,700,291.24,83.0,1014.0,0.0,F
2012,282,800,291.1,83.0,1014.0,0.0,F
2012,282,900,291.38,83.0,1014.0,0.0,F
2012,282,1000,291.71,77.0,1013.0,0.0,F
2012,282,1100,291.85,83.0,1013.0,1.0,F
2012,282,1200,291.76,77.0,1013.0,0.0,F
2012,282,1300,291.62,77.0,1013.0,2.0,F
2012,282,1400,291.57,77.0,1013.0,0.0,T
2012,282,1500,292.25,73.0,1014.0,1.0,F
2012,282,1600,293.66,73.0,1014.0,0.0,T
2012,282,1700,294.65,73.0,1014.0,1.0,T
2012,282,1800,296.39,68.0,1014.0,2.0,F
2012,282,1900,296.46,53.0,1014.0,4.0,F
2012,282,2000,297.08,50.0,1014.0,4.0,F
2012,282,2100,297.36,53.0,1013.0,4.0,F
2012,282,2200,296.81,64.0,1013.0,3.0,F
2012,282,2300,296.41,64.0,1013.0,1.0,F
2012,283,0,295.44,69.0,1012.0,3.0,F
2012,283,100,294.46,73.0,1013.0,3.0,F
2012,283,200,292.9,77.0,1013.0,3.0,F
2012,283,300,292.65,73.0,1013.0,2.0,F
2012,283,400,292.24,77.0,1014.0,2.0,F
2012,283,500,291.89,77.0,1014.0,2.0,F
2012,283,600,291.8,73.0,1014.0,0.0,F
2012,283,700,291.47,82.0,1014.0,0.0,F
2012,283,800,291.69,77.0,1014.0,0.0,F
2012,283,900,291.91,73.0,1014.0,0.0,F
2012,283,1000,291.74,73.0,1014.0,0.0,F
2012,283,1100,291.87,73.0,1014.0,0.0,F
2012,283,1200,292.0,73.0,1015.0,1.0,F
2012,283,1300,292.09,68.0,1015.0,1.0,F
2012,283,1400,292.09,68.0,1015.0,1.0,T
2012,283,1500,292.51,64.0,1016.0,2.0,F
2012,283,1600,292.78,64.0,1016.0,0.0,F
2012,283,1700,293.22,68.0,1017.0,1.0,F
2012,283,1800,295.31,60.0,1016.0,0.0,F
2012,283,1900,295.87,56.0,1016.0,0.0,F
2012,283,2000,296.71,56.0,1015.0,5.0,F
2012,283,2100,296.65,53.0,1015.0,6.0,F
2012,283,2200,295.63,64.0,1014.0,5.0,F
2012,283,2300,295.53,64.0,1015.0,4.0,F
2012,284,0,295.02,64.0,1015.0,3.0,F
2012,284,100,293.93,68.0,1014.0,2.0,F
2012,284,200,292.38,73.0,1015.0,3.0,F
2012,284,300,291.47,77.0,1015.0,3.0,F
2012,284,400,290.79,72.0,1016.0,2.0,F
2012,284,500,290.76,72.0,1016.0,1.0,F
2012,284,600,290.74,77.0,1016.0,0.0,F
2012,284,700,290.9,72.0,1016.0,0.0,F
2012,284,800,291.08,72.0,1016.0,0.0,F
2012,284,900,290.7,70.0,1016.0,0.0,F
2012,284,1000,290.32,69.0,1016.0,0.0,F
2012,284,1100,289.94,68.0,1016.0,0.0,F
2012,284,1200,291.32,60.0,1015.0,1.0,F
2012,284,1300,291.09,64.0,1015.0,1.0,T
2012,284,1400,291.29,64.0,1016.0,1.0,F
2012,284,1500,291.58,68.0,1017.0,1.0,F
2012,284,1600,292.56,60.0,1017.0,1.0,F
2012,284,1700,294.68,56.0,1016.0,1.0,F
2012,284,1800,295.27,56.0,1016.0,3.0,F
2012,284,1900,296.57,53.0,1016.0,4.0,F
2012,284,2000,296.65,56.0,1015.0,5.0,F
2012,284,2100,296.14,56.0,1015.0,6.0,F
2012,284,2200,295.82,57.0,1012.0,5.0,F
2012,284,2300,295.5,58.0,1009.0,4.0,F
2012,285,0,295.5,58.0,1009.0,4.0,F
2012,285,100,295.5,58.0,1009.0,4.0,F
2012,285,200,295.5,58.0,1009.0,4.0,F
2012,285,300,295.5,58.0,1009.0,4.0,F
2012,285,400,295.5,58.0,1009.0,4.0,F
2012,285,500,292.345,71.0,1010.0,3.0,F
2012,285,600,289.19,84.0,1011.0,1.0,F
2012,285,700,290.12,72.0,1016.0,0.0,F
2012,285,800,290.56,64.0,1016.0,1.0,F
2012,285,900,290.43,64.0,1016.0,0.0,F
2012,285,1000,290.35,72.0,1016.0,0.0,T
2012,285,1100,289.97,68.0,1015.0,0.0,F
2012,285,1200,289.94,87.0,1015.0,0.0,F
2012,285,1300,289.81,68.0,1015.0,1.0,F
2012,285,1400,290.03,68.0,1016.0,2.0,F
2012,285,1500,291.74,72.0,1016.0,2.0,F
2012,285,1600,292.48,67.0,1014.0,3.0,F
2012,285,1700,293.22,62.0,1012.0,3.0,F
2012,285,1800,293.96,58.0,1011.0,3.0,F
2012,285,1900,294.7,53.0,1009.0,4.0,F
2012,285,2000,294.7,53.0,1009.0,4.0,F
2012,285,2100,295.32,53.0,1014.0,5.0,F
2012,285,2200,295.2,56.0,1014.0,5.0,F
2012,285,2300,294.17,56.0,1014.0,5.0,F
2012,286,0,293.5,60.0,1014.0,4.0,F
2012,286,100,292.37,64.0,1014.0,3.0,F
2012,286,200,291.47,64.0,1014.0,3.0,F
2012,286,300,291.08,64.0,1014.0,2.0,F
2012,286,400,290.69,68.0,1015.0,2.0,T
2012,286,500,290.38,68.0,1015.0,2.0,F
2012,286,600,290.15,68.0,1015.0,2.0,F
2012,286,700,289.96,68.0,1014.0,2.0,F
2012,286,800,289.55,68.0,1014.0,1.0,F
2012,286,900,288.89,63.0,1014.0,1.0,F
2012,286,1000,288.05,63.0,1014.0,0.0,F
2012,286,1100,287.44,68.0,1013.0,1.0,F
2012,286,1200,287.23,72.0,1013.0,0.0,F
2012,286,1300,287.44,72.0,1014.0,2.0,F
2012,286,1400,287.3,72.0,1013.0,2.0,F
2012,286,1500,289.26,68.0,1014.0,2.0,F
2012,286,1600,290.48,72.0,1014.0,4.0,T
2012,286,1700,291.74,68.0,1015.0,4.0,F
2012,286,1800,291.37,60.0,1015.0,5.0,F
2012,286,1900,290.34,68.0,1015.0,5.0,F
2012,286,2000,291.91,68.0,1014.0,4.0,F
2012,286,2100,292.19,68.0,1014.0,3.0,F
2012,286,2200,291.65,72.0,1014.0,4.0,F
2012,286,2300,292.47,63.0,1014.0,5.0,F
2012,287,0,292.556,60.0,1013.0,5.0,F
2012,287,100,292.642,57.0,1012.0,5.0,F
2012,287,200,292.728,54.0,1011.0,5.0,F
2012,287,300,292.814,52.0,1010.0,5.0,F
2012,287,400,292.9,49.0,1009.0,5.0,F
2012,287,500,288.45,68.0,1015.0,0.0,F
2012,287,600,288.2,77.0,1016.0,1.0,F
2012,287,700,287.54,72.0,1016.0,0.0,F
2012,287,800,287.34,72.0,1016.0,0.0,F
2012,287,900,287.43,72.0,1016.0,0.0,F
2012,287,1000,287.47,77.0,1016.0,1.0,F
2012,287,1100,287.52,72.0,1016.0,2.0,F
2012,287,1200,287.52,77.0,1017.0,1.0,F
2012,287,1300,287.37,82.0,1018.0,3.0,F
2012,287,1400,287.34,82.0,1019.0,1.0,F
2012,287,1500,288.25,82.0,1019.0,2.0,F
2012,287,1600,289.73,77.0,1020.0,1.0,F
2012,287,1700,291.92,68.0,1020.0,2.0,F
2012,287,1800,292.03,63.0,1021.0,2.0,F
2012,287,1900,292.77,64.0,1021.0,4.0,F
2012,287,2000,292.77,64.0,1021.0,2.0,F
2012,287,2100,293.16,56.0,1020.0,5.0,F
2012,287,2200,293.49,52.0,1020.0,3.0,F
2012,287,2300,293.57,56.0,1021.0,4.0,F
2012,288,0,293.34,56.0,1021.0,4.0,F
2012,288,100,292.14,56.0,1020.0,4.0,F
2012,288,200,290.95,64.0,1021.0,3.0,F
2012,288,300,290.52,68.0,1021.0,3.0,F
2012,288,400,290.16,68.0,1021.0,2.0,F
2012,288,500,289.09,72.0,1021.0,2.0,F
2012,288,600,288.36,72.0,1022.0,2.0,F
2012,288,700,288.18,68.0,1021.0,0.0,F
2012,288,800,287.26,72.0,1021.0,0.0,F
2012,288,900,286.97,72.0,1021.0,0.0,F
2012,288,1000,286.8,72.0,1021.0,0.0,F
2012,288,1100,286.49,77.0,1021.0,1.0,F
2012,288,1200,286.39,82.0,1021.0,2.0,F
2012,288,1300,286.16,77.0,1022.0,2.0,F
2012,288,1400,286.12,77.0,1022.0,0.0,F
2012,288,1500,287.8,72.0,1022.0,0.0,F
2012,288,1600,290.43,67.0,1023.0,0.0,F
2012,288,1700,292.08,60.0,1023.0,3.0,F
2012,288,1800,294.17,56.0,1022.0,4.0,F
2012,288,1900,294.9,53.0,1021.0,4.0,F
2012,288,2000,295.47,56.0,1020.0,5.0,F
2012,288,2100,295.52,56.0,1019.0,5.0,F
2012,288,2200,295.43,60.0,1018.0,6.0,F
2012,288,2300,295.18,60.0,1018.0,6.0,F
2012,289,0,294.66,60.0,1017.0,4.0,F
2012,289,100,293.04,64.0,1017.0,4.0,F
2012,289,200,292.29,64.0,1018.0,3.0,F
2012,289,300,291.69,72.0,1018.0,3.0,F
2012,289,400,291.32,72.0,1018.0,2.0,F
2012,289,500,290.83,82.0,1019.0,2.0,F
2012,289,600,290.27,82.0,1018.0,2.0,F
2012,289,700,289.7,77.0,1018.0,0.0,F
2012,289,800,289.08,77.0,1018.0,0.0,F
2012,289,900,288.74,82.0,1018.0,0.0,F
2012,289,1000,288.37,82.0,1018.0,0.0,F
2012,289,1100,287.96,82.0,1018.0,0.0,F
2012,289,1200,287.7,77.0,1018.0,1.0,F
2012,289,1300,288.12,77.0,1018.0,0.0,F
2012,289,1400,287.75,77.0,1018.0,0.0,F
2012,289,1500,289.54,72.0,1018.0,0.0,F
2012,289,1600,292.95,68.0,1018.0,1.0,F
2012,289,1700,296.64,60.0,1018.0,0.0,F
2012,289,1800,296.91,"","",1.0,F
2012,289,1900,299.72,21.0,1017.0,0.0,F
2012,289,2000,301.58,19.0,1016.0,2.0,F
2012,289,2100,300.27,60.0,1015.0,4.0,F
2012,289,2200,300.76,47.0,1014.0,4.0,F
2012,289,2300,300.06,57.0,1014.0,6.0,F
2012,290,0,299.56,42.0,1014.0,3.0,F
2012,290,100,298.19,41.0,1014.0,4.0,F
2012,290,200,296.51,50.0,1014.0,3.0,F
2012,290,300,295.35,56.0,1014.0,3.0,F
2012,290,400,294.45,47.0,1014.0,0.0,F
2012,290,500,293.39,56.0,1015.0,0.0,F
2012,290,600,293.05,60.0,1015.0,0.0,F
2012,290,700,292.97,56.0,1014.0,0.0,F
2012,290,800,292.38,60.0,1014.0,0.0,F
2012,290,900,292.02,56.0,1014.0,0.0,F
2012,290,1000,291.53,60.0,1013.0,0.0,F
