year,doy,hoursmin,fire_name,mtbs_fire_name,cause,size,class,latitude,longitude
2006,184,1900.0,CABIN,"",Children,0.1,A,34.55361111,-118.42055556
2006,184,2300.0,LIVE,"",Campfire,0.1,A,34.37805556,-118.40583333
2006,185,2100.0,DULCE,"",Arson,0.5,B,34.43888889,-118.33333333
2006,186,1400.0,GRASSHOPPER,"",Miscellaneous,0.5,B,34.39138889,-118.46111111
2006,175,2000.0,MINE,"",Campfire,0.1,A,34.35833333,-117.74305556
2006,178,1400.0,SIGN,"",Miscellaneous,0.25,A,34.49166667,-118.28055556
2006,181,1200.0,SIERRA,"",Miscellaneous,2.0,B,34.49083333,-118.21222222
2006,182,400.0,LOT,"",Miscellaneous,0.1,A,34.41194444,-117.85222222
2006,165,1200.0,CISQUITO,"","Equipment Use",1.0,B,34.645,-118.35777778
2006,166,1200.0,GRASS,"",Miscellaneous,0.1,A,34.56916667,-118.68861111
2006,166,1300.0,SMOKEY,"","Equipment Use",0.1,A,34.72361111,-118.79722222
2006,166,1600.0,CANYON,"","Equipment Use",2.0,B,34.56444444,-118.68194444
2006,166,1700.0,NORTHBOUND,"",Arson,0.1,A,34.75277778,-118.79416667
2006,172,600.0,RIG,"","Equipment Use",0.5,B,34.69722222,-118.79138889
2006,184,2000.0,BRIDGE,"","Equipment Use",0.1,A,34.50222222,-118.62888889
2006,187,1300.0,MARPLE,"","Equipment Use",25.0,C,34.50777778,-118.63194444
2006,188,2100.0,CROWN,"","Equipment Use",0.1,A,34.49027778,-118.2
2006,158,1400.0,HAY,"","Debris Burning",0.1,A,34.65416667,-118.75416667
2006,162,1500.0,HAYS,"","Debris Burning",0.1,A,34.65416667,-118.75416667
2006,190,0.0,SOLEDAD,"",Arson,2.0,B,34.46361111,-118.34138889
2006,191,1900.0,PLYMOUTH,"","Equipment Use",0.1,A,34.4975,-118.265
2006,176,100.0,CHESEBORO,"",Arson,170.0,D,34.49111111,-118.02555556
2006,161,1500.0,PLANTATION,"",Arson,1.0,B,34.28833333,-118.18527778
2006,97,2400.0,DISAPPOINTMENT,"",Arson,0.1,A,34.25722222,-118.10555556
2006,182,0.0,EDGE,"",Miscellaneous,1.0,B,34.22694444,-118.17694444
2006,149,1000.0,BAILEY,"",Miscellaneous,0.25,A,34.30555556,-118.38861111
2006,172,700.0,OAK,"",Miscellaneous,0.8,B,34.31833333,-118.33027778
2006,182,1200.0,MAY,"",Miscellaneous,0.1,A,34.32944444,-118.41416667
2006,182,1400.0,MEMORIAL,"",Miscellaneous,0.1,A,34.32944444,-118.41416667
2006,184,2200.0,KAGEL,"",Arson,0.1,A,34.31138889,-118.38694444
2006,177,600.0,SWITZERS,"",Miscellaneous,1.0,B,34.26555556,-118.14888889
2006,198,1700.0,FALCON,"",Lightning,0.1,A,34.36388889,-118.09166667
2006,203,400.0,INLET,"",Arson,0.1,A,34.1825,-117.88027778
2006,198,1600.0,BANDIDO,"",Lightning,0.1,A,34.34305556,-117.99972222
2006,205,1600.0,SULPHUR,"",Lightning,0.1,A,34.36444444,-117.97805556
2006,182,2100.0,GULCH,"",Arson,1.0,B,34.22111111,-117.85444444
2006,202,1300.0,TRASH,"","Debris Burning",0.1,A,34.35861111,-118.38527778
2006,185,2300.0,JUNCTION,"",Miscellaneous,0.25,A,34.28694444,-118.41027778
2006,186,1000.0,SUNLAND,"",Miscellaneous,0.1,A,34.25305556,-118.34361111
2006,205,1600.0,VILLA,"",Miscellaneous,0.1,A,34.18,-118.08027778
2006,191,1300.0,TANKER,"",Miscellaneous,0.2,A,34.70694444,-118.79444444
2006,191,1800.0,HILL,"",Miscellaneous,0.1,A,34.34166667,-117.60055556
2006,192,1700.0,POSEY,"",Smoking,0.1,A,34.65194444,-118.75277778
2006,199,900.0,MOWER,"","Equipment Use",0.1,A,34.52333333,-118.2875
2006,199,1700.0,SEDAN,"","Equipment Use",0.1,A,34.36416667,-118.50361111
2006,200,1500.0,BIG,"","Equipment Use",2.0,B,34.50305556,-118.625
2006,201,1500.0,CIMA,"",Lightning,1.0,B,34.44944444,-117.95638889
2006,201,1700.0,BASIN,"",Lightning,0.1,A,34.47194444,-118.0225
2006,210,1600.0,ELECTRICAL,"",Miscellaneous,0.1,A,34.26166667,-118.18722222
2006,203,1200.0,HIGHLAND,"",Lightning,80.0,C,34.43833333,-117.71388889
2006,203,1400.0,BARREL,"",Lightning,0.1,A,34.51388889,-118.02944444
2006,203,1900.0,BURNHAM,"",Lightning,0.1,A,34.36083333,-117.75138889
2006,206,1600.0,STRIKE,"",Lightning,0.2,A,34.39,-117.83416667
2006,213,1000.0,SAND,"",Arson,0.1,A,34.37611111,-118.42916667
2006,155,1600.0,WHITNEY,"",Miscellaneous,1.0,B,34.34222222,-118.50527778
2006,184,2100.0,WEST,"",Campfire,0.1,A,34.24138889,-117.87
2006,198,1500.0,HAUL,"","Equipment Use",0.2,A,34.49333333,-118.275
2006,198,2200.0,NINETYTWO,"",Lightning,0.1,A,34.49138889,-118.03277778
2006,207,1400.0,MOTORHOME,"","Equipment Use",0.2,A,34.74722222,-118.79861111
2006,208,1200.0,PINYON,"",Lightning,0.25,A,34.40666667,-117.78722222
2006,211,900.0,STAGING,"",Arson,0.1,A,34.51861111,-118.38916667
2006,216,1700.0,BIN,"",Miscellaneous,0.1,A,34.66916667,-118.40944444
2006,218,100.0,THIRTY,"",Miscellaneous,0.1,A,34.62416667,-118.71861111
2006,220,1800.0,PATH,"",Children,0.1,A,34.16111111,-117.90972222
2006,216,2000.0,MESCAL,"",Miscellaneous,21.0,C,34.43888889,-117.71805556
2006,222,1100.0,CENTER,"",Miscellaneous,0.3,B,34.71972222,-118.79777778
2006,201,900.0,EAST,"","Equipment Use",1.0,B,34.56194444,-118.68138889
2006,206,1100.0,NORTH,"",Miscellaneous,5.0,B,34.63444444,-118.73222222
2006,206,1400.0,ORACLE,"",Lightning,0.1,A,34.47694444,-118.07583333
2006,221,600.0,PLACERITA,"",Arson,0.1,A,34.37416667,-118.42888889
2006,224,1700.0,JUNIPER,"","Equipment Use",0.1,A,34.51444444,-118.23888889
2006,169,1400.0,POLAR,"",Children,0.1,A,34.85527778,-119.17527778
2006,185,1400.0,PARK,"",Miscellaneous,0.1,A,34.81944444,-118.95055556
2006,190,1600.0,ARCO,"",Miscellaneous,689.09,E,34.89027778,-118.91333333
2006,199,1600.0,SPRING,"",Lightning,0.25,A,34.80944444,-119.1775
2006,199,1700.0,CAMP,"",Lightning,0.75,B,34.80972222,-119.17861111
2006,200,1000.0,BRUSH,"",Lightning,0.1,A,34.88777778,-119.22888889
2006,200,1000.0,BLUE,"",Lightning,0.1,A,34.88694444,-119.23111111
2006,200,1600.0,TANK,"",Children,0.1,A,34.83166667,-119.16527778
2006,201,900.0,CHRUCH,"",Miscellaneous,0.1,A,34.81888889,-118.99277778
2006,203,900.0,CLOUDBURST,"",Lightning,0.1,A,34.86861111,-119.16027778
2006,203,1000.0,MIGDIO,"",Lightning,0.1,A,34.87166667,-119.18583333
2006,203,1000.0,"PARK 2","",Lightning,0.1,A,34.84305556,-119.19555556
2006,203,1500.0,LOCK,"",Lightning,0.1,A,34.71861111,-119.11916667
2006,203,1600.0,BOY,"",Lightning,4.8,B,34.76583333,-119.17055556
2006,203,1100.0,TOP,"",Lightning,0.1,A,34.83694444,-119.19916667
2006,203,1100.0,SADDLE,"",Lightning,0.1,A,34.87,-119.20027778
2006,204,900.0,CORRAL,"",Lightning,0.1,A,34.8725,-119.1875
