,year,doy,hourmin,temperature,humidity,wind,pressure
215,2012,284,1100,286.34,95.0,0.0,1014.0
216,2012,284,1200,287.28,82.0,0.0,1014.0
217,2012,284,1300,287.53,82.0,0.0,1015.0
218,2012,284,1400,288.25,77.0,0.0,1015.0
219,2012,284,1500,288.83,91.0,0.0,1016.0
220,2012,284,1600,290.06,64.0,0.0,1015.0
221,2012,284,1700,292.5,60.0,1.0,1015.0
222,2012,284,1800,293.51,56.0,0.0,1015.0
223,2012,284,1900,294.43,47.0,2.0,1015.0
224,2012,284,2000,294.72,50.0,0.0,1014.0
225,2012,284,2100,295.71,56.0,1.0,1014.0
226,2012,284,2200,296.355,49.0,3.0,1004.0
227,2012,284,2300,297.0,43.0,5.0,995.0
228,2012,285,0,297.0,43.0,5.0,995.0
229,2012,285,100,297.0,43.0,5.0,995.0
230,2012,285,200,297.0,43.0,5.0,995.0
231,2012,285,300,297.0,43.0,5.0,995.0
232,2012,285,400,297.0,43.0,5.0,995.0
233,2012,285,500,291.915,67.0,3.0,995.0
234,2012,285,600,286.83,91.0,0.0,996.0
235,2012,285,700,289.02,88.0,0.0,1015.0
236,2012,285,800,289.88,82.0,0.0,1015.0
237,2012,285,900,289.56,82.0,0.0,1015.0
238,2012,285,1000,289.45,67.0,1.0,1015.0
239,2012,285,1100,288.81,77.0,0.0,1015.0
240,2012,285,1200,288.77,72.0,0.0,1015.0
241,2012,285,1300,288.69,82.0,0.0,1015.0
242,2012,285,1400,288.58,82.0,0.0,1015.0
243,2012,285,1500,289.55,82.0,1.0,1015.0
244,2012,285,1600,291.0125,71.0,2.0,1009.0
245,2012,285,1700,292.475,60.0,3.0,1004.0
246,2012,285,1800,293.9375,49.0,3.0,999.0
247,2012,285,1900,295.4,38.0,4.0,994.0
248,2012,285,2000,295.4,38.0,4.0,994.0
249,2012,285,2100,295.11,49.0,1.0,1013.0
250,2012,285,2200,295.06,53.0,3.0,1013.0
251,2012,285,2300,294.88,53.0,3.0,1013.0
252,2012,286,0,294.01,56.0,2.0,1013.0
253,2012,286,100,292.89,60.0,3.0,1013.0
254,2012,286,200,291.9,59.0,1.0,1013.0
255,2012,286,300,291.17,68.0,1.0,1013.0
256,2012,286,400,290.87,68.0,0.0,1014.0
257,2012,286,500,290.56,68.0,0.0,1014.0
258,2012,286,600,290.08,77.0,0.0,1014.0
259,2012,286,700,289.14,77.0,0.0,1014.0
260,2012,286,800,288.65,72.0,0.0,1013.0
261,2012,286,900,288.27,77.0,0.0,1013.0
262,2012,286,1000,287.84,77.0,0.0,1013.0
263,2012,286,1100,287.59,77.0,0.0,1012.0
264,2012,286,1200,287.58,82.0,0.0,1012.0
265,2012,286,1300,287.84,77.0,0.0,1013.0
266,2012,286,1400,287.73,77.0,0.0,1013.0
267,2012,286,1500,288.03,82.0,1.0,1013.0
268,2012,286,1600,289.14,82.0,0.0,1013.0
269,2012,286,1700,290.09,68.0,0.0,1014.0
270,2012,286,1800,291.67,56.0,0.0,1013.0
271,2012,286,1900,292.69,43.0,2.0,1013.0
272,2012,286,2000,293.38,40.0,0.0,1012.0
273,2012,286,2100,292.72,49.0,1.0,1012.0
274,2012,286,2200,292.63,52.0,3.0,1012.0
275,2012,286,2300,290.86,63.0,1.0,1013.0
276,2012,287,0,291.308,59.0,2.0,1009.0
277,2012,287,100,291.756,55.0,2.0,1005.0
278,2012,287,200,292.204,52.0,3.0,1001.0
279,2012,287,300,292.652,48.0,3.0,997.0
280,2012,287,400,293.1,45.0,4.0,994.0
281,2012,287,500,287.75,72.0,0.0,1015.0
282,2012,287,600,287.57,67.0,0.0,1015.0
283,2012,287,700,287.24,77.0,0.0,1015.0
284,2012,287,800,286.68,82.0,0.0,1015.0
285,2012,287,900,286.16,82.0,0.0,1016.0
286,2012,287,1000,285.97,82.0,0.0,1015.0
287,2012,287,1100,285.7,82.0,0.0,1016.0
288,2012,287,1200,285.31,76.0,0.0,1016.0
289,2012,287,1300,285.32,82.0,0.0,1017.0
290,2012,287,1400,285.27,82.0,0.0,1017.0
291,2012,287,1500,286.69,67.0,0.0,1018.0
292,2012,287,1600,288.92,67.0,0.0,1019.0
293,2012,287,1700,289.85,67.0,0.0,1020.0
294,2012,287,1800,290.94,63.0,0.0,1020.0
295,2012,287,1900,292.53,59.0,2.0,1020.0
296,2012,287,2000,293.21,46.0,0.0,1020.0
297,2012,287,2100,293.64,46.0,1.0,1019.0
298,2012,287,2200,294.0,49.0,1.0,1019.0
299,2012,287,2300,293.45,52.0,4.0,1019.0
300,2012,288,0,292.74,56.0,2.0,1020.0
301,2012,288,100,292.16,63.0,3.0,1020.0
302,2012,288,200,291.42,68.0,1.0,1020.0
303,2012,288,300,290.71,68.0,1.0,1020.0
304,2012,288,400,290.24,63.0,0.0,1020.0
305,2012,288,500,289.68,67.0,0.0,1021.0
306,2012,288,600,289.37,67.0,0.0,1021.0
307,2012,288,700,288.65,67.0,0.0,1021.0
308,2012,288,800,288.24,77.0,0.0,1021.0
309,2012,288,900,287.68,77.0,0.0,1021.0
310,2012,288,1000,286.83,77.0,0.0,1020.0
311,2012,288,1100,286.53,77.0,0.0,1021.0
312,2012,288,1200,286.07,82.0,0.0,1021.0
313,2012,288,1300,285.62,82.0,0.0,1021.0
314,2012,288,1400,285.81,82.0,0.0,1022.0
315,2012,288,1500,287.77,77.0,0.0,1022.0
316,2012,288,1600,290.44,67.0,0.0,1022.0
317,2012,288,1700,292.04,59.0,0.0,1022.0
318,2012,288,1800,293.74,52.0,0.0,1022.0
319,2012,288,1900,295.23,46.0,0.0,1021.0
320,2012,288,2000,295.83,41.0,0.0,1020.0
321,2012,288,2100,295.98,46.0,1.0,1019.0
322,2012,288,2200,296.23,46.0,1.0,1018.0
323,2012,288,2300,296.52,46.0,0.0,1018.0
324,2012,289,0,295.96,46.0,2.0,1017.0
325,2012,289,100,294.66,56.0,1.0,1017.0
326,2012,289,200,293.04,64.0,0.0,1018.0
327,2012,289,300,291.88,72.0,0.0,1018.0
328,2012,289,400,291.61,82.0,0.0,1018.0
329,2012,289,500,291.02,82.0,0.0,1018.0
330,2012,289,600,290.88,82.0,0.0,1018.0
331,2012,289,700,290.05,82.0,0.0,1018.0
332,2012,289,800,289.81,88.0,0.0,1018.0
333,2012,289,900,289.3,82.0,0.0,1018.0
334,2012,289,1000,289.13,77.0,0.0,1017.0
335,2012,289,1100,288.58,77.0,0.0,1017.0
336,2012,289,1200,288.97,72.0,0.0,1017.0
337,2012,289,1300,288.77,77.0,0.0,1018.0
338,2012,289,1400,288.38,77.0,0.0,1018.0
339,2012,289,1500,289.75,77.0,0.0,1018.0
340,2012,289,1600,293.42,56.0,0.0,1018.0
341,2012,289,1700,297.24,41.0,0.0,1017.0
342,2012,289,1800,297.91,41.0,0.0,1018.0
343,2012,289,1900,300.54,25.0,0.0,1017.0
344,2012,289,2000,301.8,20.0,0.0,1016.0
345,2012,289,2100,301.27,42.0,4.0,1015.0
346,2012,289,2200,300.98,32.0,5.0,1015.0
347,2012,289,2300,300.57,47.0,5.0,1014.0
348,2012,290,0,299.43,41.0,5.0,1014.0
349,2012,290,100,298.56,44.0,3.0,1014.0
350,2012,290,200,297.47,46.0,1.0,1014.0
351,2012,290,300,296.27,46.0,2.0,1014.0
352,2012,290,400,295.89,53.0,0.0,1014.0
353,2012,290,500,294.98,53.0,0.0,1014.0
354,2012,290,600,293.6,56.0,0.0,1014.0
355,2012,290,700,292.89,60.0,0.0,1014.0
356,2012,290,800,292.45,63.0,0.0,1014.0
357,2012,290,900,291.91,59.0,0.0,1014.0
358,2012,290,1000,291.74,63.0,0.0,1013.0
359,2012,290,1100,291.45,63.0,0.0,1013.0
360,2012,290,1200,290.91,63.0,0.0,1013.0
361,2012,290,1300,290.55,63.0,0.0,1013.0
362,2012,290,1400,291.27,59.0,0.0,1013.0
363,2012,290,1500,292.5,37.0,0.0,1013.0
364,2012,290,1600,296.59,31.0,0.0,1013.0
365,2012,290,1700,299.76,24.0,0.0,1013.0
366,2012,290,1800,299.75,,1.0,
367,2012,290,1900,301.47,34.0,4.0,1013.0
368,2012,290,2000,302.21,19.0,3.0,1012.0
369,2012,290,2100,301.87,28.0,4.0,1012.0
370,2012,290,2200,301.67,30.0,4.0,1011.0
371,2012,290,2300,301.5,26.0,2.0,1011.0
372,2012,291,0,299.93,28.0,2.0,1011.0
373,2012,291,100,298.51,36.0,2.0,1011.0
374,2012,291,200,297.18,41.0,0.0,1011.0
375,2012,291,300,295.88,43.0,0.0,1011.0
376,2012,291,400,295.51,46.0,0.0,1011.0
377,2012,291,500,294.29,56.0,0.0,1012.0
378,2012,291,600,293.49,64.0,0.0,1012.0
379,2012,291,700,292.42,68.0,0.0,1012.0
380,2012,291,800,291.62,72.0,0.0,1012.0
381,2012,291,900,291.02,77.0,0.0,1011.0
382,2012,291,1000,290.79,77.0,0.0,1011.0
383,2012,291,1100,290.57,72.0,0.0,1011.0
384,2012,291,1200,290.05,77.0,0.0,1010.0
385,2012,291,1300,289.62,77.0,0.0,1010.0
386,2012,291,1400,289.58,67.0,0.0,1011.0
387,2012,291,1500,290.55,68.0,0.0,1011.0
388,2012,291,1600,292.87,52.0,0.0,1011.0
389,2012,291,1700,293.68,77.0,0.0,1012.0
390,2012,291,1800,296.74,,0.0,
391,2012,291,1900,299.67,,0.0,
392,2012,291,2000,301.95,,3.0,
393,2012,291,2100,301.47,60.0,5.0,1009.0
394,2012,291,2200,300.71,,2.0,
395,2012,291,2300,300.51,30.0,2.0,1007.0
396,2012,292,0,298.9,36.0,1.0,1007.0
397,2012,292,100,298.94,34.0,1.0,1007.0
398,2012,292,200,296.51,49.0,0.0,1007.0
399,2012,292,300,295.56,68.0,0.0,1007.0
400,2012,292,400,295.08,73.0,0.0,1007.0
