,year,doy,hourmin,San Francisco,Los Angeles,San Diego
138,2012,281,600,288.89666666700003,290.98,290.08666666700003
139,2012,281,700,288.313333333,290.36,289.693333333
140,2012,281,800,287.73,289.74,289.3
141,2012,281,900,287.63,289.67,289.03
142,2012,281,1000,286.3,289.28,288.61
143,2012,281,1100,285.68,288.95,288.47
144,2012,281,1200,285.5,289.06,288.38
145,2012,281,1300,284.94,288.67,288.42
146,2012,281,1400,285.15,288.92,288.43
147,2012,281,1500,285.69,289.88,290.1
148,2012,281,1600,288.65,291.75,291.79
149,2012,281,1700,290.6,294.55,294.85
150,2012,281,1800,291.73,296.13,296.77
151,2012,281,1900,292.58,297.4,297.68
152,2012,281,2000,293.38,298.21,298.09
153,2012,281,2100,293.54,298.01,298.04
154,2012,281,2200,294.25,297.94,297.86
155,2012,281,2300,294.13,297.96,297.28
156,2012,282,0,293.6,297.06,296.36
157,2012,282,100,291.3,296.45,295.21
158,2012,282,200,289.52,295.11,294.08
159,2012,282,300,288.65,294.27,293.39
160,2012,282,400,287.96,293.73,292.52
161,2012,282,500,287.33,292.96,292.09
162,2012,282,600,286.93,292.81,291.65
163,2012,282,700,286.6,292.29,291.24
164,2012,282,800,286.06,292.1,291.1
165,2012,282,900,285.77,291.55,291.38
166,2012,282,1000,285.46,291.16,291.71
167,2012,282,1100,285.32,290.93,291.85
168,2012,282,1200,284.55,290.14,291.76
169,2012,282,1300,284.62,290.1,291.62
170,2012,282,1400,284.62,290.27,291.57
171,2012,282,1500,285.47,290.83,292.25
172,2012,282,1600,287.13,293.54,293.66
173,2012,282,1700,288.21,294.48,294.65
174,2012,282,1800,290.56,296.44,296.39
175,2012,282,1900,291.16,296.83,296.46
176,2012,282,2000,292.25,297.66,297.08
177,2012,282,2100,293.39,297.68,297.36
178,2012,282,2200,294.11,297.91,296.81
179,2012,282,2300,293.68,297.75,296.41
180,2012,283,0,292.11,296.56,295.44
181,2012,283,100,290.35,295.49,294.46
182,2012,283,200,288.88,294.31,292.9
183,2012,283,300,288.08,293.5,292.65
184,2012,283,400,287.83,292.92,292.24
185,2012,283,500,287.35,291.64,291.89
186,2012,283,600,286.67,291.16,291.8
187,2012,283,700,286.36,291.48,291.47
188,2012,283,800,286.055,290.295,291.69
189,2012,283,900,285.75,289.11,291.91
190,2012,283,1000,285.56,288.82,291.74
191,2012,283,1100,285.62,288.58,291.87
192,2012,283,1200,285.22,288.58,292.0
193,2012,283,1300,285.09,288.71,292.09
194,2012,283,1400,283.93,289.19,292.09
195,2012,283,1500,284.94,289.85,292.51
196,2012,283,1600,287.87,291.25,292.78
197,2012,283,1700,288.64,291.74,293.22
198,2012,283,1800,291.08,293.93,295.31
199,2012,283,1900,292.14,295.07,295.87
200,2012,283,2000,292.67,296.15,296.71
201,2012,283,2100,293.02,296.65,296.65
202,2012,283,2200,293.26,297.03,295.63
203,2012,283,2300,291.92,296.55,295.53
204,2012,284,0,291.7,295.55,295.02
205,2012,284,100,290.5,294.5,293.93
206,2012,284,200,289.13,293.08,292.38
207,2012,284,300,288.34,292.32,291.47
208,2012,284,400,287.93,291.7,290.79
209,2012,284,500,287.66,290.98,290.76
210,2012,284,600,286.46,289.54,290.74
211,2012,284,700,286.06,288.68,290.9
212,2012,284,800,285.64,288.51,291.08
213,2012,284,900,285.156666667,287.786666667,290.7
214,2012,284,1000,284.673333333,287.063333333,290.32
215,2012,284,1100,284.19,286.34,289.94
216,2012,284,1200,285.4,287.28,291.32
217,2012,284,1300,285.55,287.53,291.09
218,2012,284,1400,284.76,288.25,291.29
219,2012,284,1500,285.18,288.83,291.58
220,2012,284,1600,287.06,290.06,292.56
221,2012,284,1700,289.69,292.5,294.68
222,2012,284,1800,291.7,293.51,295.27
223,2012,284,1900,292.76,294.43,296.57
224,2012,284,2000,293.69,294.72,296.65
225,2012,284,2100,293.28,295.71,296.14
226,2012,284,2200,293.64,296.355,295.82
227,2012,284,2300,294.0,297.0,295.5
228,2012,285,0,294.0,297.0,295.5
229,2012,285,100,294.0,297.0,295.5
230,2012,285,200,294.0,297.0,295.5
231,2012,285,300,294.0,297.0,295.5
232,2012,285,400,294.0,297.0,295.5
233,2012,285,500,289.28,291.915,292.345
234,2012,285,600,284.56,286.83,289.19
235,2012,285,700,286.75,289.02,290.12
236,2012,285,800,286.55,289.88,290.56
237,2012,285,900,286.27,289.56,290.43
238,2012,285,1000,285.91,289.45,290.35
239,2012,285,1100,285.71,288.81,289.97
240,2012,285,1200,285.6,288.77,289.94
241,2012,285,1300,285.57,288.69,289.81
242,2012,285,1400,285.81,288.58,290.03
243,2012,285,1500,286.18,289.55,291.74
244,2012,285,1600,288.135,291.0125,292.48
245,2012,285,1700,290.09,292.475,293.22
246,2012,285,1800,292.045,293.9375,293.96
247,2012,285,1900,294.0,295.4,294.7
248,2012,285,2000,294.0,295.4,294.7
249,2012,285,2100,293.49,295.11,295.32
250,2012,285,2200,293.8,295.06,295.2
251,2012,285,2300,292.94,294.88,294.17
252,2012,286,0,291.0,294.01,293.5
253,2012,286,100,289.05,292.89,292.37
254,2012,286,200,287.65,291.9,291.47
255,2012,286,300,287.24,291.17,291.08
256,2012,286,400,286.8,290.87,290.69
257,2012,286,500,286.68,290.56,290.38
258,2012,286,600,286.42,290.08,290.15
259,2012,286,700,286.27,289.14,289.96
260,2012,286,800,286.23,288.65,289.55
261,2012,286,900,286.27,288.27,288.89
262,2012,286,1000,286.39,287.84,288.05
263,2012,286,1100,286.22,287.59,287.44
264,2012,286,1200,286.26,287.58,287.23
265,2012,286,1300,285.81,287.84,287.44
266,2012,286,1400,285.52,287.73,287.3
267,2012,286,1500,285.98,288.03,289.26
268,2012,286,1600,286.6,289.14,290.48
269,2012,286,1700,286.95,290.09,291.74
270,2012,286,1800,287.27,291.67,291.37
271,2012,286,1900,287.51,292.69,290.34
272,2012,286,2000,287.71,293.38,291.91
273,2012,286,2100,287.52,292.72,292.19
274,2012,286,2200,287.51,292.63,291.65
275,2012,286,2300,287.26,290.86,292.47
276,2012,287,0,287.728,291.308,292.556
277,2012,287,100,288.19599999999997,291.756,292.642
278,2012,287,200,288.664,292.204,292.728
279,2012,287,300,289.132,292.652,292.814
280,2012,287,400,289.6,293.1,292.9
281,2012,287,500,286.59,287.75,288.45
282,2012,287,600,286.56,287.57,288.2
283,2012,287,700,286.39,287.24,287.54
284,2012,287,800,286.32,286.68,287.34
285,2012,287,900,286.13,286.16,287.43
286,2012,287,1000,285.9,285.97,287.47
287,2012,287,1100,285.77,285.7,287.52
288,2012,287,1200,285.81,285.31,287.52
289,2012,287,1300,285.57,285.32,287.37
290,2012,287,1400,285.79,285.27,287.34
291,2012,287,1500,285.88,286.69,288.25
292,2012,287,1600,286.48,288.92,289.73
293,2012,287,1700,287.2,289.85,291.92
294,2012,287,1800,288.07,290.94,292.03
295,2012,287,1900,289.04,292.53,292.77
296,2012,287,2000,289.6,293.21,292.77
297,2012,287,2100,289.6,293.64,293.16
298,2012,287,2200,290.04,294.0,293.49
299,2012,287,2300,290.25,293.45,293.57
300,2012,288,0,289.97,292.74,293.34
301,2012,288,100,288.96,292.16,292.14
302,2012,288,200,287.84,291.42,290.95
303,2012,288,300,286.83,290.71,290.52
304,2012,288,400,285.98,290.24,290.16
305,2012,288,500,285.49,289.68,289.09
306,2012,288,600,285.11,289.37,288.36
307,2012,288,700,284.38,288.65,288.18
308,2012,288,800,284.01,288.24,287.26
309,2012,288,900,283.76,287.68,286.97
310,2012,288,1000,283.5,286.83,286.8
311,2012,288,1100,283.37,286.53,286.49
312,2012,288,1200,283.12,286.07,286.39
313,2012,288,1300,283.05,285.62,286.16
314,2012,288,1400,283.08,285.81,286.12
315,2012,288,1500,283.81,287.77,287.8
316,2012,288,1600,286.95,290.44,290.43
317,2012,288,1700,289.19,292.04,292.08
318,2012,288,1800,291.16,293.74,294.17
319,2012,288,1900,292.4,295.23,294.9
320,2012,288,2000,293.28,295.83,295.47
321,2012,288,2100,294.06,295.98,295.52
322,2012,288,2200,295.22,296.23,295.43
323,2012,288,2300,295.17,296.52,295.18
324,2012,289,0,294.35,295.96,294.66
325,2012,289,100,292.49,294.66,293.04
326,2012,289,200,290.74,293.04,292.29
327,2012,289,300,290.05,291.88,291.69
328,2012,289,400,289.19,291.61,291.32
329,2012,289,500,288.72,291.02,290.83
330,2012,289,600,288.04,290.88,290.27
331,2012,289,700,287.62,290.05,289.7
332,2012,289,800,287.77,289.81,289.08
333,2012,289,900,287.44,289.3,288.74
334,2012,289,1000,287.08,289.13,288.37
335,2012,289,1100,286.93,288.58,287.96
336,2012,289,1200,286.92,288.97,287.7
337,2012,289,1300,287.08,288.77,288.12
338,2012,289,1400,286.99,288.38,287.75
339,2012,289,1500,286.79,289.75,289.54
