,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
1431,2014,268,2300,292.56,81.0,1029.0,2.0,T
219,2013,18,1900,284.82,46.0,1024.0,2.0,T
5834,2016,116,100,288.68,59.0,1015.0,8.0,F
2161,2015,278,500,289.55,67.0,1005.0,5.0,T
5319,2016,336,2100,288.51,47.0,1020.0,4.0,F
3189,2017,220,1000,288.99,100.0,1014.0,1.0,F
2825,2015,155,1900,290.23,74.0,1023.0,1.0,T
1964,2015,299,700,285.86,99.0,1029.0,1.0,T
5941,2013,90,1300,284.86,100.0,1018.0,3.0,F
2225,2014,251,1300,285.67,100.0,1024.0,1.0,T
3201,2017,237,1500,287.34,100.0,1011.0,1.0,F
2297,2013,173,400,289.36,86.0,1016.0,2.0,T
4565,2016,315,1200,285.71,87.0,1017.0,1.0,F
4518,2017,210,600,289.37,87.0,1014.0,1.0,F
5662,2017,6,700,275.91,68.0,1017.0,4.0,F
4900,2015,109,1100,281.7,100.0,1026.0,1.0,F
4008,2017,248,1600,295.57,73.0,1015.0,1.0,F
19,2014,277,1900,297.49,51.0,1029.0,1.0,T
4540,2016,72,1400,283.47,95.0,1025.0,4.0,F
21,2014,323,800,285.37,93.0,1031.0,2.0,T
4390,2014,88,1500,286.4,87.0,1018.0,5.0,F
499,2014,180,2200,295.1,59.0,1025.0,2.0,T
3894,2016,143,800,283.7,71.0,1019.0,5.0,F
5545,2017,130,1600,289.29,67.0,1017.0,5.0,F
1789,2015,87,1000,284.61,93.0,1034.0,2.0,T
4365,2016,81,2300,287.03,63.0,1027.0,3.0,F
4486,2017,296,900,286.98,87.0,1023.0,2.0,F
1153,2015,282,1700,294.87,59.0,1019.0,2.0,T
5847,2016,160,300,290.59,77.0,1014.0,8.0,F
2118,2014,108,300,288.55,59.0,1011.0,8.0,T
4165,2016,330,200,284.4,87.0,1023.0,1.0,F
1639,2013,305,600,284.5,88.0,1032.0,1.0,T
4072,2017,199,100,300.19,60.0,1012.0,6.0,F
5176,2013,7,2000,282.1,76.0,1022.0,3.0,F
4069,2017,247,1000,295.53,87.0,1010.0,2.0,F
1916,2015,178,300,294.13,83.0,1009.0,2.0,T
4852,2016,11,1800,283.32,95.0,1024.0,1.0,F
5309,2012,363,800,280.93,70.0,1020.0,7.0,F
5148,2015,65,1100,282.28,93.0,1038.0,1.0,F
2837,2015,262,0,299.97,74.0,1008.0,2.0,T
1716,2013,11,800,281.99,65.0,1019.0,5.0,T
3077,2017,8,700,288.17,94.0,1010.0,1.0,F
713,2014,322,1500,284.44,92.0,1033.0,2.0,T
1103,2012,325,300,286.28,58.0,1021.0,4.0,T
3956,2017,229,1700,291.32,72.0,1017.0,1.0,F
2243,2013,25,100,283.82,81.0,1017.0,4.0,T
5919,2016,303,700,288.18,97.0,1019.0,2.0,F
967,2013,264,1800,288.88,93.0,1023.0,3.0,T
1751,2014,147,1400,284.87,76.0,1017.0,3.0,T
2306,2014,180,1000,287.94,87.0,1014.0,1.0,T
4142,2017,108,900,285.9,93.0,1018.0,1.0,F
69,2015,204,1900,294.29,79.0,1012.0,3.0,T
5553,2013,278,1600,295.39,26.0,1021.0,2.0,F
418,2013,117,1900,288.33,62.0,1024.0,6.0,T
4295,2017,44,1000,279.99,93.0,1021.0,0.0,F
5160,2016,266,1800,293.09,47.0,1016.0,4.0,F
5382,2017,274,800,289.52,59.0,1014.0,2.0,F
5474,2013,102,300,290.72,71.0,1018.0,12.0,F
5231,2015,9,1100,283.3,97.0,1029.0,2.0,F
4307,2016,74,1700,285.42,77.0,1009.0,2.0,F
1034,2013,84,1300,280.25,76.0,1003.0,2.0,T
3710,2017,237,2200,297.03,87.0,1011.0,5.0,F
4289,2017,256,1000,291.58,98.0,1012.0,3.0,F
5822,2014,64,300,288.32,93.0,1018.0,0.0,F
4495,2013,363,300,284.45,55.0,1016.0,1.0,F
4665,2014,363,2100,283.46,98.0,1035.0,2.0,F
