x,y
4,0.21548821548821548
5,0.2335329341317365
6,0.22281167108753316
7,0.24355971896955503
8,0.2959641255605381
9,0.31063829787234043
10,0.2757281553398059
11,0.35336976320582875
12,0.3498233215547703
13,0.32885906040268453
14,0.3495798319327731
15,0.3903225806451613
16,0.40059790732436473
17,0.37784090909090906
18,0.435967302452316
19,0.41360544217687073
20,0.4429882044560943
21,0.420125786163522
22,0.4620770128354726
23,0.44882860665844637
24,0.4430379746835443
25,0.4280442804428044
26,0.4697336561743341
27,0.45232273838630815
28,0.4411400247831475
29,0.44970414201183434
30,0.49448123620309054
31,0.4645308924485126
32,0.4913494809688581
33,0.4914675767918089
34,0.4683257918552037
35,0.48591549295774655
36,0.4754634678298801
37,0.48744769874476984
38,0.4750542299349241
39,0.4715969989281886
40,0.5026511134676565
41,0.5369807497467072
42,0.4979338842975206
43,0.5277777777777778
44,0.5537190082644629
45,0.5467196819085487
46,0.5212121212121212
47,0.5531914893617023
48,0.517716535433071
49,0.5345345345345346
50,0.5338567222767419
51,0.4859228362877998
52,0.5363357215967247
53,0.5388397246804326
54,0.5216515609264855
55,0.5004812319538018
56,0.5126646403242148
57,0.5199610516066213
58,0.550098231827112
59,0.5515267175572519
60,0.5321463897131553
61,0.5510009532888465
62,0.5722273998136067
63,0.56672760511883
64,0.5447545717035611
65,0.5294117647058822
66,0.5621033544877606
67,0.5646437994722954
68,0.5422138836772983
69,0.5447761194029851
70,0.5678346810422282
71,0.5719557195571956
72,0.5743305632502309
73,0.5560704355885079
74,0.5662431941923775
75,0.5683453237410072
76,0.5822784810126582
77,0.5667870036101084
78,0.5495905368516834
79,0.5472547254725472
80,0.5874769797421732
81,0.6031468531468531
82,0.5741878841088675
83,0.5946428571428571
84,0.5739910313901346
85,0.5989208633093526
86,0.6006944444444444
87,0.597489539748954
88,0.586784140969163
89,0.579861111111111
90,0.5591766723842195
91,0.6174957118353345
92,0.586062132661629
93,0.5801393728222995
94,0.5821917808219178
95,0.6331738437001596
96,0.6156378600823046
97,0.5909479077711357
98,0.5647058823529413
99,0.5888324873096448
100,0.6094570928196147
