,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
1484,2013,65,1000,285.39,71.0,1020.0,2.0,F
573,2013,105,1300,285.23,76.0,1011.0,3.0,F
5900,2014,148,600,289.85,77.0,1015.0,0.0,F
2261,2013,12,1000,282.14,37.0,1021.0,6.0,F
4183,2015,214,1200,292.73,77.0,1013.0,1.0,F
3084,2014,56,1300,286.82,67.0,1016.0,1.0,F
1790,2013,214,1900,295.57,53.0,1014.0,0.0,F
2333,2013,209,1700,294.17,82.0,1017.0,2.0,F
3076,2014,204,500,294.06,64.0,1017.0,3.0,F
1602,2017,49,1500,282.44,100.0,965.0,1.0,F
406,2014,307,1200,276.86,83.0,1032.0,1.0,F
4168,2016,172,1600,311.53,17.0,1011.0,1.0,F
5697,2017,51,1200,278.72,99.0,988.0,1.0,F
1692,2016,219,1700,299.3,62.0,1012.0,1.0,F
5675,2012,277,900,293.23,78.0,1011.0,0.0,F
2874,2014,57,700,286.48,67.0,1018.0,0.0,F
3312,2015,230,1600,296.41,78.0,1015.0,2.0,F
1564,2014,196,2000,294.95,68.0,1018.0,3.0,F
2197,2013,189,100,294.3,65.0,1007.0,1.0,F
690,2016,60,100,292.39,52.0,1016.0,2.0,F
5591,2014,222,2200,301.56,60.0,1026.0,1.0,F
3274,2015,123,2300,293.4,62.0,1022.0,2.0,F
4375,2016,111,1800,299.34,19.0,1014.0,2.0,F
5679,2016,304,1100,285.71,97.0,981.0,1.0,F
4358,2017,317,1700,287.44,87.0,1021.0,1.0,F
5135,2012,283,0,295.44,69.0,1012.0,3.0,F
5445,2013,342,2100,285.71,53.0,1018.0,1.0,F
2375,2016,111,500,291.98,67.0,1014.0,1.0,F
2567,2016,99,1300,287.67,87.0,1014.0,0.0,F
5436,2012,307,1700,290.35,67.0,1017.0,0.0,F
3247,2015,122,100,298.91,31.0,1023.0,2.0,F
3256,2013,96,1700,288.75,82.0,1019.0,2.0,F
4343,2015,348,300,289.36,71.0,1016.0,3.0,F
4779,2015,90,1400,282.53,83.0,1029.0,1.0,F
2472,2013,209,2000,295.36,62.0,1013.0,1.0,F
5825,2013,29,300,283.64,63.0,1017.0,3.0,F
2843,2017,115,1400,288.98,77.0,1013.0,5.0,F
2998,2016,302,1400,287.3,89.0,980.0,1.0,F
1905,2012,336,2200,292.38,82.0,1020.0,3.0,F
3123,2014,246,1200,287.42,89.0,1021.0,1.0,F
1935,2017,107,2300,294.61,60.0,1018.0,5.0,F
2356,2016,178,1900,299.57,64.0,1014.0,6.0,F
5964,2012,340,1200,288.2,82.0,1023.0,3.0,F
4411,2017,180,100,294.06,60.0,1013.0,3.0,F
3201,2016,234,200,295.1,73.0,1011.0,4.0,F
3314,2014,10,2200,293.58,48.0,1018.0,3.0,F
1234,2015,221,500,291.84,68.0,1015.0,2.0,F
5977,2017,208,1200,293.56,83.0,1015.0,2.0,F
5382,2016,85,200,294.64,13.0,1015.0,4.0,F
5499,2012,363,1000,283.98,66.0,1017.0,5.0,F
4601,2017,142,2200,296.4,47.0,1015.0,4.0,F
2739,2016,76,0,293.7,40.0,1014.0,3.0,F
4991,2017,306,1700,290.44,68.0,1018.0,2.0,F
1060,2013,230,1600,294.04,69.0,1012.0,1.0,F
473,2015,309,300,290.0,61.0,1017.0,1.0,F
5661,2013,55,800,280.65,71.0,1022.0,0.0,F
198,2014,195,0,296.82,74.0,1011.0,1.0,F
2709,2015,6,1000,274.61,68.0,1035.0,1.0,F
1434,2015,77,500,287.63,65.0,1027.0,1.0,F
2602,2015,130,1800,291.18,65.0,1028.0,2.0,F
2756,2013,215,2200,297.02,55.0,1012.0,1.0,F
4109,2016,37,600,286.15,36.0,1025.0,3.0,F
710,2017,307,1800,290.98,67.0,1021.0,2.0,F
4599,2016,100,600,288.62,93.0,1016.0,2.0,F
2932,2014,328,2200,293.96,24.0,1036.0,1.0,F
1046,2015,76,400,289.69,45.0,1026.0,0.0,F
1180,2016,213,1100,293.61,88.0,1012.0,2.0,F
1266,2014,175,800,284.11,91.0,1026.0,0.0,F
1758,2014,298,300,293.56,49.0,1027.0,1.0,F
1784,2016,75,500,287.87,77.0,1020.0,1.0,F
2470,2015,97,400,281.25,67.0,1028.0,1.0,F
5042,2012,321,1500,289.25,55.0,1013.0,1.0,F
5833,2013,364,1100,281.41,80.0,1022.0,1.0,F
3955,2015,193,600,291.36,72.0,1017.0,1.0,F
319,2015,236,800,292.53,73.0,1015.0,1.0,F
552,2014,146,0,295.46,60.0,1013.0,4.0,F
5476,2013,122,200,289.47,67.0,1012.0,2.0,F
2876,2014,315,1800,286.71,77.0,1026.0,1.0,F
2927,2013,179,1900,301.28,63.0,1016.0,2.0,F
3543,2012,291,500,291.68,93.0,1013.0,2.0,F
4616,2013,236,0,299.69,26.0,1008.0,1.0,F
5983,2013,40,2100,284.11,71.0,1015.0,4.0,F
216,2012,299,300,289.33,63.0,1015.0,2.0,F
5935,2015,232,1400,293.23,68.0,1013.0,2.0,F
4909,2016,116,500,288.52,72.0,1013.0,3.0,F
5011,2012,275,1800,291.57,80.0,1013.0,0.0,F
2273,2013,11,2100,286.12,43.0,1017.0,9.0,F
609,2017,274,1700,292.69,72.0,1012.0,3.0,F
3802,2016,161,1200,289.28,93.0,1012.0,0.0,F
33,2013,116,1600,289.33,67.0,1018.0,0.0,T
4426,2016,264,0,296.84,35.0,1017.0,1.0,F
1992,2016,246,1800,295.78,68.0,1015.0,4.0,F
5197,2015,15,500,277.9,77.0,1035.0,0.0,F
5489,2013,11,1000,280.77,58.0,1025.0,2.0,F
2738,2013,7,500,281.34,71.0,1024.0,0.0,F
145,2014,208,1700,296.26,73.0,1017.0,1.0,T
3995,2016,125,1600,290.33,77.0,1014.0,2.0,F
3559,2013,325,500,289.83,87.0,1014.0,2.0,F
2595,2016,314,2000,307.96,8.0,1014.0,6.0,F
4717,2014,351,1400,281.4,97.0,1030.0,1.0,F
5009,2016,14,1800,285.27,66.0,1022.0,1.0,F
5341,2015,97,100,286.85,49.0,1026.0,3.0,F
2807,2017,53,1800,288.48,72.0,1021.0,2.0,F
244,2016,97,1500,288.13,72.0,1018.0,0.0,F
817,2017,7,1200,283.25,81.0,1021.0,1.0,F
3232,2015,192,2000,297.23,56.0,1016.0,3.0,F
562,2013,347,400,280.15,70.0,1023.0,1.0,F
605,2017,121,1600,293.43,28.0,1015.0,3.0,F
3508,2016,128,2100,292.36,55.0,1016.0,4.0,F
720,2015,9,200,287.79,55.0,1029.0,1.0,F
2048,2016,294,1200,283.18,51.0,982.0,1.0,F
2851,2015,335,1000,280.98,93.0,1020.0,1.0,F
416,2013,302,1600,283.85,94.0,1028.0,1.0,F
4597,2015,38,1100,277.24,77.0,1033.0,1.0,F
1786,2012,322,2300,294.41,49.0,1017.0,2.0,F
5325,2013,276,2100,294.15,65.0,1010.0,1.0,F
1760,2013,360,200,289.4,54.0,1030.0,0.0,F
3537,2015,218,2100,299.81,69.0,1013.0,4.0,F
65,2015,206,900,292.64,78.0,1017.0,1.0,T
3437,2012,352,1600,284.72,71.0,1022.0,1.0,F
864,2014,159,1900,295.97,59.0,1008.0,2.0,F
3353,2017,215,500,297.6,83.0,1014.0,1.0,F
684,2016,147,1600,289.82,67.0,1019.0,1.0,F
5248,2016,276,1900,293.85,53.0,1016.0,1.0,F
2101,2013,234,2100,299.85,41.0,1010.0,2.0,F
3228,2017,30,700,286.83,17.0,1022.0,2.0,F
5029,2013,283,1800,290.15,51.0,1017.0,1.0,F
316,2013,147,2100,292.82,66.0,1016.0,3.0,F
2891,2013,176,1100,288.63,82.0,1010.0,1.0,F
3526,2015,132,100,294.26,57.0,1022.0,1.0,F
4472,2013,57,1000,280.46,39.0,1024.0,0.0,F
2886,2017,180,1000,290.15,82.0,1013.0,1.0,F
3552,2014,98,1900,301.56,33.0,1019.0,4.0,F
894,2015,112,1600,285.93,76.0,1025.0,1.0,F
3757,2014,18,2100,297.86,54.0,1005.0,1.0,F
520,2013,332,1800,291.17,42.0,1014.0,0.0,F
3613,2013,299,300,289.15,82.0,1018.0,2.0,F
4256,2012,361,1000,282.42,87.0,1019.0,0.0,F
754,2015,76,2200,298.28,26.0,1026.0,2.0,F
541,2013,179,800,291.35,89.0,1014.0,0.0,F
2098,2014,355,700,280.29,91.0,1035.0,1.0,F
1883,2014,91,700,284.62,71.0,1017.0,0.0,F
247,2017,46,900,279.08,83.0,985.0,1.0,F
1756,2015,164,2100,294.45,79.0,1021.0,1.0,F
1697,2017,80,1100,284.78,71.0,1020.0,1.0,F
4954,2015,242,1800,301.37,65.0,1014.0,3.0,F
4861,2016,316,1400,288.08,33.0,1018.0,1.0,F
5010,2013,10,1200,277.94,90.0,1028.0,1.0,F
2307,2014,46,0,297.9,52.0,1015.0,4.0,F
2785,2014,270,200,293.96,62.0,1023.0,1.0,F
3114,2012,325,900,284.43,82.0,1022.0,0.0,F
4020,2016,241,1400,291.56,82.0,1016.0,2.0,F
3853,2016,171,1400,300.26,30.0,1014.0,1.0,F
4793,2017,36,1100,285.97,82.0,1017.0,2.0,F
744,2013,363,1600,282.44,54.0,1028.0,1.0,F
3623,2016,106,2200,293.85,43.0,1012.0,5.0,F
5916,2013,188,900,290.88,86.0,1008.0,1.0,F
3824,2016,246,100,295.78,73.0,1012.0,3.0,F
5393,2015,242,1400,294.49,94.0,1012.0,1.0,F
846,2013,31,700,281.12,71.0,1024.0,0.0,F
2572,2016,62,1400,282.33,91.0,1024.0,1.0,F
4170,2015,24,1100,274.58,45.0,1032.0,1.0,F
3336,2014,262,400,292.13,83.0,1023.0,1.0,F
665,2014,252,900,291.25,57.0,1025.0,0.0,F
47,2015,119,1800,298.31,34.0,1024.0,2.0,T
2679,2015,56,0,286.19,53.0,1034.0,2.0,F
3568,2014,242,500,291.32,77.0,1022.0,1.0,F
4463,2013,130,2000,292.19,55.0,1020.0,4.0,F
2120,2013,308,0,288.26,70.0,1023.0,1.0,F
223,2017,201,1000,293.46,78.0,1016.0,1.0,F
1090,2014,210,1800,299.84,56.0,1028.0,1.0,F
1055,2016,165,2200,295.13,51.0,1016.0,2.0,F
5372,2014,176,2200,297.87,63.0,1011.0,2.0,F
569,2016,182,500,293.06,82.0,1013.0,2.0,F
973,2017,308,900,287.07,82.0,1016.0,1.0,F
5709,2013,239,200,300.13,38.0,1010.0,1.0,F
1942,2017,243,300,300.67,69.0,1006.0,2.0,F
5369,2015,211,600,294.27,73.0,1016.0,3.0,F
5038,2014,280,1500,293.36,53.0,1027.0,1.0,F
5719,2017,189,1100,293.87,72.0,1010.0,1.0,F
1904,2017,298,1900,309.06,23.0,1013.0,2.0,F
209,2015,36,800,278.93,76.0,1032.0,1.0,F
5717,2016,225,500,293.37,85.0,1018.0,1.0,F
895,2017,72,900,285.34,87.0,1017.0,0.0,F
4433,2017,2,500,284.32,71.0,1018.0,2.0,F
5884,2017,331,1600,287.75,77.0,1018.0,1.0,F
1581,2013,340,1900,286.38,43.0,1023.0,2.0,F
5221,2014,271,2300,294.61,58.0,1024.0,2.0,F
5081,2013,277,1000,288.47,86.0,1011.0,1.0,F
3431,2016,110,1500,293.55,26.0,1015.0,1.0,F
1565,2014,305,2300,287.07,83.0,1027.0,3.0,F
3648,2013,285,1600,285.41,73.0,1026.0,1.0,F
2085,2013,207,700,290.63,91.0,1013.0,1.0,F
262,2017,195,1000,293.14,88.0,1017.0,1.0,F
3055,2013,269,100,291.79,61.0,1018.0,1.0,F
727,2013,172,2300,297.14,50.0,1018.0,2.0,F
5868,2016,137,1400,288.3,72.0,1014.0,2.0,F
1349,2015,125,1300,284.96,88.0,1027.0,1.0,F
1009,2015,133,1300,278.96,87.0,1026.0,1.0,F
184,2015,246,1000,291.12,68.0,1014.0,0.0,F
101,2013,224,1300,283.51,96.0,1014.0,1.0,T
127,2013,359,2200,298.11,20.0,1018.0,1.0,T
1706,2014,127,100,288.71,100.0,1022.0,3.0,F
4464,2016,79,800,288.06,100.0,1017.0,2.0,F
2355,2017,205,1700,294.7,88.0,1014.0,3.0,F
646,2013,208,2000,296.27,64.0,1018.0,5.0,F
1103,2016,216,1000,293.87,77.0,1016.0,1.0,F
3249,2013,60,100,290.98,19.0,1022.0,5.0,F
4695,2015,344,2200,291.69,63.0,1016.0,3.0,F
3404,2013,331,1800,290.82,37.0,1015.0,1.0,F
2958,2013,342,900,280.95,89.0,1018.0,1.0,F
3473,2015,305,1400,285.12,58.0,1023.0,1.0,F
2486,2017,325,1000,286.6,57.0,1016.0,1.0,F
5831,2015,275,500,294.05,78.0,1014.0,1.0,F
1197,2015,122,1700,295.87,54.0,1023.0,1.0,F
4634,2017,190,700,293.97,83.0,1012.0,3.0,F
4213,2016,364,1600,283.4,50.0,1020.0,1.0,F
2170,2013,122,1800,291.71,68.0,1016.0,2.0,F
388,2016,282,1900,302.43,29.0,980.0,1.0,F
5666,2016,284,100,290.91,62.0,981.0,0.0,F
1989,2016,38,100,292.42,38.0,1021.0,1.0,F
5580,2015,48,2300,293.26,53.0,1031.0,2.0,F
4493,2017,188,1000,293.24,88.0,1013.0,1.0,F
2675,2014,169,0,293.24,59.0,1024.0,2.0,F
4489,2012,295,1100,291.84,85.0,1012.0,2.0,F
55,2013,22,700,286.03,32.0,1013.0,1.0,T
5145,2013,40,2200,283.95,71.0,1016.0,4.0,F
2788,2014,361,1700,276.9,45.0,1040.0,1.0,F
1162,2016,122,1500,287.69,72.0,1014.0,3.0,F
4946,2017,8,1900,293.98,33.0,1023.0,1.0,F
4444,2013,267,500,292.26,94.0,1022.0,1.0,F
107,2014,166,1700,293.7,79.0,1022.0,1.0,T
4130,2016,84,500,289.41,85.0,1021.0,0.0,F
3196,2017,269,400,294.14,43.0,1009.0,1.0,F
5206,2012,305,1800,295.15,59.0,1018.0,2.0,F
3833,2017,309,0,293.72,60.0,1016.0,4.0,F
1476,2014,180,2100,297.25,69.0,1011.0,3.0,F
2020,2013,185,400,297.82,68.0,977.0,1.0,F
5978,2013,113,1900,293.02,59.0,1016.0,2.0,F
478,2013,365,1900,291.17,54.0,1032.0,1.0,F
5218,2013,133,1900,303.89,40.0,1022.0,4.0,F
1344,2017,101,700,285.56,77.0,1017.0,0.0,F
5146,2015,117,400,285.73,74.0,1026.0,1.0,F
750,2017,74,1200,287.86,67.0,1017.0,1.0,F
4898,2016,347,1800,289.31,72.0,1021.0,2.0,F
3788,2012,322,500,293.15,42.0,1013.0,3.0,F
4712,2012,308,1700,290.62,55.0,1017.0,2.0,F
4286,2013,90,1200,286.75,87.0,1018.0,0.0,F
1121,2016,93,2300,294.55,60.0,1019.0,5.0,F
2442,2013,187,1100,289.73,90.0,1008.0,0.0,F
2748,2012,331,400,287.4,82.0,1015.0,2.0,F
5937,2016,49,400,289.23,77.0,1013.0,2.0,F
1431,2017,107,1400,285.14,82.0,1019.0,1.0,F
4993,2014,335,1100,276.46,82.0,1032.0,1.0,F
1345,2012,279,1600,293.47,68.0,1020.0,1.0,F
2948,2015,177,800,290.48,79.0,1018.0,1.0,F
2725,2013,49,1300,281.9,46.0,1015.0,1.0,F
4403,2016,222,2000,300.23,57.0,978.0,2.0,F
62,2015,196,1200,291.54,72.0,1013.0,2.0,T
580,2015,11,1300,282.58,69.0,1029.0,1.0,F
1444,2015,89,200,292.99,51.0,1028.0,1.0,F
3309,2013,189,500,291.17,77.0,1010.0,2.0,F
4930,2014,328,900,276.54,56.0,1034.0,1.0,F
730,2013,131,600,287.74,76.0,1019.0,1.0,F
2262,2015,5,1600,276.2,60.0,1038.0,1.0,F
543,2013,277,900,288.9,84.0,1011.0,1.0,F
4055,2017,246,1400,301.31,54.0,1013.0,2.0,F
4582,2015,273,1100,291.36,83.0,1010.0,2.0,F
688,2015,25,900,277.35,51.0,1030.0,1.0,F
2401,2014,82,1200,285.78,82.0,1019.0,0.0,F
5610,2014,8,1200,281.58,54.0,1028.0,1.0,F
4048,2015,208,2100,298.02,56.0,1014.0,4.0,F
1892,2016,346,300,288.69,82.0,1020.0,4.0,F
5264,2014,151,200,293.13,68.0,1012.0,2.0,F
5924,2017,213,2200,299.7,43.0,1011.0,4.0,F
2588,2015,136,200,285.25,94.0,1025.0,1.0,F
2645,2014,261,600,295.78,74.0,1021.0,1.0,F
4620,2013,121,2300,291.26,72.0,1012.0,5.0,F
3913,2014,123,1600,296.5,33.0,1026.0,1.0,F
2733,2016,127,1800,287.68,87.0,1014.0,1.0,F
3323,2017,46,1100,278.29,80.0,985.0,0.0,F
470,2017,313,900,287.26,82.0,1017.0,2.0,F
5150,2015,85,2000,301.63,29.0,1031.0,1.0,F
3263,2014,136,1900,306.93,98.0,1024.0,1.0,F
3834,2014,109,600,288.44,72.0,1015.0,2.0,F
5480,2016,165,1400,286.74,90.0,1020.0,1.0,F
4095,2013,327,1100,283.15,93.0,1015.0,1.0,F
3852,2017,155,2200,292.89,60.0,1013.0,4.0,F
3593,2015,40,2100,292.76,67.0,1031.0,1.0,F
832,2014,192,1100,291.02,86.0,1016.0,0.0,F
5387,2013,113,1300,285.64,82.0,1016.0,1.0,F
3583,2017,252,1200,293.75,83.0,1014.0,2.0,F
3056,2015,66,100,293.76,25.0,1029.0,1.0,F
548,2014,67,100,290.51,72.0,1014.0,4.0,F
4990,2016,217,0,298.97,54.0,1014.0,1.0,F
4531,2014,201,700,292.46,73.0,1016.0,2.0,F
4011,2014,288,1300,284.1,93.0,1027.0,0.0,F
2100,2017,128,2300,292.07,59.0,1012.0,4.0,F
4892,2014,61,1500,285.49,87.0,1019.0,2.0,F
3969,2017,227,1500,291.41,88.0,1014.0,1.0,F
220,2012,288,200,290.95,64.0,1021.0,3.0,F
442,2016,153,2100,295.44,68.0,1014.0,4.0,F
4338,2012,334,1200,287.3,72.0,1021.0,2.0,F
4716,2016,298,1600,289.7,91.0,984.0,2.0,F
954,2013,177,700,290.74,87.0,1013.0,0.0,F
1470,2017,9,300,289.65,55.0,1022.0,1.0,F
3659,2013,340,2300,285.15,54.0,1020.0,3.0,F
2630,2014,345,1100,280.74,82.0,1026.0,1.0,F
1072,2016,98,2000,289.45,82.0,1016.0,4.0,F
2449,2015,244,1200,291.78,80.0,1019.0,1.0,F
