,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
26299,2015,281,1700,294.24,82.0,1019.0,1.0,F
28205,2015,361,300,279.76,82.0,1019.0,2.0,F
26454,2015,288,400,293.37,68.0,1015.0,2.0,F
11410,2014,24,1300,281.74,82.0,1017.0,0.0,T
2736,2013,25,0,283.77,81.0,1017.0,4.0,F
9542,2013,311,0,292.83,42.0,1021.0,1.0,F
1731,2012,347,2300,285.06,91.0,1014.0,2.0,F
18409,2014,317,2300,288.8,97.0,1030.0,1.0,F
30114,2016,75,1600,283.21,87.0,1025.0,1.0,F
34415,2016,254,2200,299.08,63.0,1017.0,8.0,F
10312,2013,343,200,276.29,54.0,1025.0,1.0,F
28082,2015,356,0,286.8,100.0,1015.0,5.0,F
16710,2014,247,400,290.49,88.0,1019.0,2.0,F
42431,2017,222,2300,296.9,54.0,1013.0,3.0,F
3182,2013,43,1900,286.83,40.0,1023.0,0.0,F
24574,2015,209,2000,306.21,33.0,1012.0,5.0,F
5660,2013,149,400,287.33,93.0,1018.0,3.0,F
8181,2013,254,700,289.44,98.0,1011.0,1.0,F
33578,2016,220,100,293.96,83.0,1009.0,1.0,F
38329,2017,52,0,286.87,95.0,1015.0,8.0,F
12431,2014,67,300,286.24,87.0,1020.0,8.0,F
835,2012,310,800,286.73,72.0,1021.0,1.0,F
20872,2015,55,1400,281.25,98.0,1040.0,3.0,F
23841,2015,179,700,289.96,77.0,1016.0,3.0,F
27705,2015,340,700,282.07,100.0,1033.0,2.0,F
42539,2017,227,1100,288.71,99.0,1011.0,2.0,F
23165,2015,151,300,287.59,84.0,1025.0,1.0,F
5373,2013,137,500,286.47,68.0,1017.0,0.0,F
8606,2013,272,0,293.21,25.0,1014.0,2.0,F
1073,2012,320,1100,283.77,71.0,1020.0,2.0,F
33086,2016,199,1300,286.22,98.0,1015.0,3.0,F
13678,2014,119,400,288.42,54.0,1022.0,8.0,F
37662,2017,24,500,280.77,75.0,1010.0,5.0,F
1283,2012,329,600,283.18,76.0,1024.0,1.0,F
22934,2015,141,1200,285.1,100.0,1026.0,2.0,F
10730,2013,360,1200,280.77,55.0,1021.0,0.0,F
16892,2014,254,1800,292.0,81.0,1024.0,1.0,F
18700,2014,330,200,286.78,85.0,1041.0,2.0,F
36050,2016,323,100,286.66,54.0,1018.0,3.0,F
6789,2013,196,700,287.93,95.0,1015.0,1.0,F
17157,2014,265,1900,292.02,86.0,1029.0,1.0,F
36754,2016,352,900,277.97,65.0,1021.0,2.0,F
27518,2015,332,1200,279.6,67.0,1025.0,2.0,F
8110,2013,251,800,287.06,95.0,1023.0,1.0,T
10685,2013,358,1500,281.0,55.0,1024.0,0.0,F
6931,2013,202,500,289.39,97.0,1012.0,1.0,F
13629,2014,117,300,284.89,66.0,1018.0,6.0,F
11409,2014,24,1200,282.07,84.0,1017.0,1.0,F
9116,2013,293,600,286.43,93.0,1016.0,1.0,F
41911,2017,201,600,289.26,87.0,1017.0,5.0,F
40287,2017,133,1400,281.87,77.0,1011.0,3.0,F
16042,2014,219,800,289.24,82.0,1016.0,1.0,F
27075,2015,314,100,285.98,87.0,1019.0,3.0,F
34295,2016,249,2200,300.17,52.0,1010.0,9.0,F
3733,2013,67,200,283.78,57.0,1017.0,3.0,F
27651,2015,338,100,287.77,93.0,1017.0,4.0,F
5204,2013,129,1900,288.25,71.0,1021.0,4.0,F
4203,2013,86,2100,288.79,76.0,1017.0,5.0,T
38408,2017,55,700,280.28,77.0,1009.0,2.0,F
20714,2015,49,0,285.69,96.0,1034.0,2.0,F
196,2012,283,1700,288.64,81.0,1023.0,2.0,F
19756,2015,9,200,285.68,88.0,1029.0,1.0,F
3462,2013,55,1500,281.24,87.0,1024.0,5.0,F
11124,2014,12,1400,279.0,55.0,1024.0,1.0,T
4695,2013,108,100,291.02,47.0,1019.0,12.0,F
8028,2013,247,2200,300.14,49.0,1014.0,3.0,F
18285,2014,312,1900,291.86,77.0,1032.0,1.0,F
33600,2016,220,2300,299.65,71.0,1009.0,1.0,F
36972,2016,361,1100,278.04,70.0,1023.0,3.0,F
21447,2015,79,1300,282.0,100.0,1031.0,1.0,F
26455,2015,288,500,292.71,77.0,1015.0,2.0,F
819,2012,309,1600,286.23,71.0,1021.0,1.0,F
5688,2013,150,800,286.42,100.0,1016.0,2.0,F
115,2012,280,800,287.83,91.0,1010.0,0.0,F
25828,2015,262,200,294.98,83.0,1009.0,1.0,F
11392,2014,23,1900,289.16,76.0,1013.0,4.0,F
42497,2017,225,1700,290.25,72.0,1014.0,2.0,F
35991,2016,320,1400,286.4,82.0,1020.0,1.0,F
4286,2013,90,900,285.52,93.0,1019.0,3.0,F
11893,2014,44,1700,284.91,100.0,1021.0,2.0,T
37266,2017,7,1700,282.73,87.0,1013.0,11.0,F
21788,2015,93,1800,285.94,80.0,1035.0,1.0,F
7746,2013,236,400,288.35,90.0,1013.0,2.0,F
36204,2016,329,1100,278.72,87.0,1028.0,1.0,F
35767,2016,311,600,288.76,77.0,1019.0,2.0,F
26705,2015,298,1500,287.69,95.0,1029.0,1.0,F
37962,2017,36,1700,283.88,87.0,1015.0,3.0,F
40813,2017,155,1200,286.4,82.0,1013.0,4.0,F
27076,2015,314,200,285.47,87.0,1020.0,5.0,F
31867,2016,148,1700,291.79,82.0,1015.0,2.0,F
8930,2013,285,1200,281.84,100.0,1017.0,1.0,F
33337,2016,210,0,303.22,79.0,1007.0,3.0,F
22838,2015,137,1200,284.41,98.0,1029.0,2.0,F
5433,2013,139,1700,288.57,71.0,1021.0,3.0,T
11603,2014,32,1400,276.61,77.0,1021.0,0.0,F
18601,2014,325,2300,287.34,93.0,1032.0,1.0,F
20822,2015,53,1200,282.66,98.0,1023.0,3.0,F
26304,2015,281,2200,302.97,79.0,1006.0,3.0,F
14376,2014,149,800,289.23,88.0,1008.0,0.0,F
22685,2015,131,300,285.65,87.0,1028.0,3.0,F
106,2012,279,2300,293.45,50.0,1023.0,1.0,F
19791,2015,10,1300,281.31,99.0,1029.0,1.0,F
44051,2017,290,1100,285.93,57.0,1017.0,1.0,F
21958,2015,100,2000,288.68,71.0,1030.0,2.0,F
33885,2016,232,2000,298.65,37.0,1011.0,2.0,F
10573,2013,353,2300,287.49,78.0,1010.0,2.0,F
5001,2013,121,100,300.25,83.0,1009.0,2.0,T
3310,2013,49,300,285.69,81.0,1019.0,7.0,F
36384,2016,336,2300,289.01,50.0,1019.0,5.0,F
20239,2015,29,500,284.23,97.0,1035.0,1.0,F
5238,2013,131,500,285.1,77.0,1018.0,2.0,F
30583,2016,95,500,285.06,75.0,1020.0,2.0,F
14872,2014,170,1400,284.47,91.0,1018.0,0.0,F
13101,2014,95,300,284.51,76.0,1017.0,7.0,F
27797,2015,344,300,288.64,80.0,1017.0,1.0,F
9130,2013,293,2000,293.39,42.0,1022.0,1.0,F
6012,2013,163,2200,294.2,66.0,1010.0,4.0,F
40285,2017,133,1200,282.95,87.0,1009.0,2.0,F
35237,2016,289,400,288.01,98.0,1020.0,1.0,F
33915,2016,234,200,292.66,72.0,1012.0,10.0,F
18682,2014,329,800,283.13,95.0,1043.0,1.0,F
25276,2015,239,200,298.83,56.0,1015.0,7.0,T
