,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
111,2017,207,0,300.94,57.0,1014.0,1.0,F
112,2014,327,200,286.17,67.0,1030.0,0.0,F
113,2014,97,2100,300.98,27.0,1019.0,1.0,F
114,2015,75,1600,290.41,43.0,1028.0,0.0,F
115,2016,158,900,288.71,93.0,1011.0,2.0,F
116,2017,184,0,300.11,60.0,1015.0,4.0,F
117,2016,193,2000,301.46,54.0,1012.0,5.0,F
118,2015,313,1500,286.38,76.0,1015.0,2.0,F
119,2015,272,600,293.88,78.0,1012.0,2.0,F
120,2012,280,1600,290.96,72.0,1018.0,0.0,F
121,2014,362,0,279.82,36.0,1040.0,0.0,F
122,2014,166,1400,289.75,82.0,1013.0,1.0,F
123,2014,42,0,292.2,49.0,1016.0,0.0,F
124,2017,49,200,283.29,98.0,942.0,5.0,F
125,2012,280,2100,297.14,57.0,1015.0,2.0,F
126,2014,190,1800,298.84,59.0,1012.0,1.0,F
127,2013,252,1600,293.88,54.0,1009.0,0.0,F
128,2015,158,1500,291.66,70.0,1024.0,0.0,F
129,2017,18,1900,286.33,67.0,1022.0,1.0,F
130,2012,281,200,293.86,68.0,1014.0,0.0,F
131,2017,281,100,303.4,23.0,1007.0,1.0,F
132,2016,89,2200,289.95,39.0,1012.0,5.0,F
133,2017,20,1300,283.87,100.0,1009.0,2.0,F
134,2016,143,200,289.7,42.0,1016.0,3.0,F
135,2014,345,800,280.53,89.0,1026.0,0.0,F
136,2015,325,600,289.88,48.0,1014.0,1.0,F
137,2016,117,300,286.86,21.0,1012.0,3.0,F
138,2014,127,100,290.57,47.0,1007.0,1.0,F
139,2012,281,1400,288.92,88.0,1014.0,0.0,F
140,2017,51,2000,285.58,96.0,969.0,1.0,F
141,2016,180,400,297.92,78.0,1013.0,2.0,F
142,2012,281,1700,294.55,68.0,1015.0,0.0,F
143,2014,156,1700,294.85,64.0,1009.0,1.0,F
144,2015,52,1400,276.04,87.0,1027.0,0.0,F
145,2017,68,500,290.4,59.0,1018.0,0.0,F
146,2013,228,800,291.01,88.0,1000.0,1.0,F
147,2017,49,1900,283.04,96.0,946.0,1.0,F
148,2016,122,500,287.45,72.0,1011.0,1.0,F
149,2016,178,1400,292.92,82.0,1012.0,1.0,F
150,2017,114,1900,293.08,68.0,1014.0,3.0,F
151,2015,197,2000,301.04,64.0,1014.0,4.0,F
152,2013,207,2200,299.53,50.0,1014.0,2.0,F
153,2016,277,800,287.93,75.0,1016.0,1.0,F
154,2017,170,1300,291.18,100.0,1009.0,1.0,F
155,2016,31,300,288.16,82.0,1016.0,0.0,F
156,2016,190,1900,300.3,60.0,1016.0,5.0,F
157,2012,282,800,292.1,77.0,1013.0,0.0,F
158,2015,354,100,286.57,82.0,1014.0,2.0,F
159,2017,33,100,290.27,67.0,1018.0,2.0,F
160,2014,296,1700,293.26,42.0,1028.0,0.0,F
161,2017,38,1100,287.39,93.0,1019.0,1.0,F
162,2017,186,200,299.73,68.0,1013.0,3.0,F
163,2015,257,2100,301.03,57.0,1010.0,6.0,F
164,2015,360,800,280.04,31.0,1022.0,1.0,F
165,2016,282,100,290.12,39.0,959.0,0.0,F
166,2015,187,1600,293.53,82.0,1018.0,2.0,F
167,2014,323,400,281.87,39.0,1033.0,0.0,F
168,2012,282,1900,296.83,61.0,1013.0,1.0,F
169,2017,26,1500,277.22,70.0,1027.0,1.0,F
170,2015,294,2000,299.75,57.0,1012.0,5.0,F
171,2016,330,1500,282.21,30.0,1019.0,1.0,F
172,2015,163,400,293.33,70.0,1022.0,1.0,F
173,2014,195,600,295.16,74.0,1011.0,0.0,F
174,2014,5,1500,282.15,68.0,1018.0,1.0,F
175,2014,275,1900,298.71,36.0,1029.0,1.0,F
176,2016,355,1900,293.35,11.0,1023.0,2.0,F
177,2016,125,500,288.92,87.0,1015.0,0.0,F
178,2017,137,300,289.53,55.0,1017.0,3.0,F
179,2015,332,1100,278.09,65.0,1024.0,1.0,F
180,2012,283,700,291.48,82.0,1013.0,0.0,F
181,2016,63,500,288.75,87.0,1019.0,2.0,F
182,2016,117,1900,291.74,40.0,1022.0,2.0,F
183,2015,301,400,295.02,73.0,1013.0,0.0,F
184,2014,74,1100,284.91,87.0,1020.0,0.0,F
185,2015,186,900,291.41,82.0,1014.0,2.0,F
186,2013,275,1500,288.92,71.0,1025.0,1.0,F
187,2017,214,600,297.88,64.0,1012.0,0.0,F
188,2016,248,1200,290.55,72.0,1011.0,0.0,F
189,2017,242,1000,296.59,73.0,1008.0,0.0,F
190,2015,1,1900,282.39,23.0,1033.0,1.0,F
191,2016,187,300,294.11,72.0,1015.0,4.0,F
192,2014,354,1800,282.33,74.0,1034.0,1.0,F
193,2015,337,1600,284.41,19.0,1018.0,1.0,F
194,2012,283,2100,296.65,51.0,1013.0,2.0,F
195,2016,302,2200,290.43,79.0,961.0,0.0,F
196,2012,283,2300,296.55,57.0,1013.0,2.0,F
197,2016,297,1400,287.43,59.0,963.0,0.0,F
198,2014,228,200,299.51,53.0,1026.0,1.0,F
199,2012,284,200,293.08,68.0,1014.0,2.0,F
200,2012,284,300,292.32,72.0,1014.0,0.0,F
201,2016,256,900,290.37,82.0,1015.0,0.0,F
202,2012,284,500,290.98,77.0,1015.0,0.0,F
203,2017,187,2100,303.42,61.0,1015.0,3.0,F
204,2014,241,1200,292.21,59.0,1024.0,1.0,F
205,2016,288,1200,281.08,85.0,962.0,0.0,F
206,2017,297,1800,307.1,12.0,1016.0,6.0,F
207,2012,284,1000,287.06,90.0,1014.0,0.0,F
208,2015,87,1600,289.62,41.0,1031.0,1.0,F
209,2013,296,0,292.67,61.0,1026.0,0.0,F
210,2014,246,1900,298.96,57.0,1021.0,1.0,F
211,2016,111,1400,288.3,72.0,1013.0,0.0,F
212,2014,105,2200,296.46,56.0,1012.0,0.0,F
213,2016,217,2300,304.4,52.0,1008.0,1.0,F
214,2014,3,1600,284.29,35.0,1015.0,0.0,F
215,2016,3,2200,288.99,59.0,1014.0,3.0,F
216,2013,252,1100,291.2,56.0,1008.0,0.0,F
217,2014,56,1500,284.46,76.0,1016.0,0.0,F
218,2017,303,400,290.9,82.0,1012.0,3.0,F
219,2013,299,300,291.2,72.0,1016.0,1.0,F
220,2015,19,500,282.64,69.0,1035.0,1.0,F
221,2017,327,1600,289.79,30.0,1016.0,1.0,F
222,2017,158,1200,290.0,88.0,1013.0,0.0,F
223,2014,213,1100,292.25,88.0,1013.0,0.0,F
224,2015,201,1600,297.38,69.0,1017.0,1.0,F
225,2015,337,400,289.88,72.0,1018.0,1.0,F
226,2015,61,200,281.21,96.0,1026.0,0.0,F
227,2014,13,2000,296.89,17.0,1025.0,1.0,F
228,2016,97,1200,287.72,87.0,1019.0,1.0,F
229,2015,343,500,287.71,36.0,1023.0,1.0,F
230,2012,285,900,289.56,82.0,1015.0,0.0,F
231,2014,48,600,286.89,82.0,1018.0,0.0,F
232,2017,56,1600,278.28,70.0,1020.0,1.0,F
