,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
2242,2014,225,2000,292.23,79.0,1028.0,2.0,F
1688,2015,287,1200,287.3,97.0,1029.0,0.0,F
1411,2013,98,500,285.02,43.0,1018.0,2.0,F
2366,2016,290,1800,289.47,95.0,1014.0,6.0,F
1511,2016,235,1700,290.84,77.0,1015.0,4.0,F
3962,2015,37,800,287.27,89.0,1025.0,7.0,F
1716,2017,64,600,283.24,81.0,1012.0,6.0,F
5725,2013,203,1900,295.71,51.0,1008.0,1.0,F
5124,2017,182,1800,292.05,66.0,1018.0,4.0,F
3676,2017,152,600,288.52,93.0,1019.0,3.0,F
4796,2014,174,600,286.35,87.0,1026.0,2.0,F
1510,2015,200,1200,290.21,72.0,1017.0,1.0,F
2380,2017,283,1900,293.24,68.0,1013.0,3.0,F
7,2014,145,1300,284.71,76.0,1015.0,2.0,T
2194,2013,39,1700,281.92,87.0,1021.0,3.0,F
5686,2015,295,1100,285.74,82.0,1013.0,1.0,F
5492,2016,83,600,284.57,88.0,1019.0,4.0,F
5175,2013,208,1100,287.62,85.0,1015.0,1.0,F
3384,2015,189,500,290.28,82.0,1014.0,6.0,F
4745,2012,341,1800,288.31,82.0,1022.0,1.0,F
447,2013,129,600,286.32,100.0,1018.0,3.0,T
3470,2014,159,700,287.44,94.0,1009.0,2.0,F
5755,2013,243,600,291.16,84.0,1018.0,1.0,F
2035,2014,240,500,290.18,90.0,1029.0,1.0,F
4442,2013,128,1300,287.27,76.0,1016.0,1.0,F
2413,2017,167,1700,296.7,69.0,1015.0,1.0,F
5691,2014,228,1600,289.35,91.0,1029.0,1.0,F
1739,2014,52,600,283.48,76.0,1020.0,4.0,F
1870,2015,122,600,285.42,86.0,1024.0,1.0,F
5976,2016,216,800,287.88,82.0,1015.0,3.0,F
2109,2016,82,1300,281.47,76.0,1022.0,4.0,F
487,2013,157,1400,284.91,93.0,1016.0,0.0,T
591,2013,119,200,290.7,72.0,1017.0,3.0,T
4404,2015,34,900,284.52,94.0,1032.0,1.0,F
3247,2016,40,1600,283.21,81.0,1023.0,2.0,F
5924,2016,353,1100,274.3,86.0,1027.0,2.0,F
5484,2015,161,1900,293.64,65.0,1026.0,1.0,F
4895,2015,184,2200,300.67,64.0,1013.0,10.0,F
2822,2016,79,800,284.54,87.0,1011.0,1.0,F
664,2013,173,1400,285.15,96.0,1015.0,1.0,T
1587,2014,234,1600,290.17,92.0,1028.0,1.0,F
1205,2016,89,1600,281.25,79.0,1023.0,3.0,F
4527,2014,283,1400,287.56,100.0,1029.0,1.0,F
3411,2012,314,1900,288.25,51.0,1015.0,5.0,F
398,2013,168,1000,284.69,95.0,1016.0,1.0,T
3919,2017,276,2000,291.91,72.0,1011.0,5.0,F
5364,2013,340,1300,274.66,72.0,1020.0,1.0,F
5193,2015,21,2200,286.09,90.0,1033.0,1.0,F
1305,2016,72,500,284.55,82.0,1021.0,3.0,F
5001,2013,4,400,279.1,70.0,1021.0,0.0,F
352,2014,309,1000,285.16,93.0,1036.0,1.0,T
3719,2015,235,1800,294.21,64.0,1017.0,3.0,F
4187,2016,348,1100,281.74,93.0,1017.0,1.0,F
4980,2014,365,1000,280.69,98.0,1038.0,9.0,F
3127,2014,112,1100,283.14,81.0,1017.0,9.0,F
3849,2013,365,2200,287.68,80.0,1021.0,1.0,F
3792,2015,90,1300,285.69,95.0,1032.0,5.0,F
415,2013,163,1600,287.17,94.0,1015.0,1.0,T
1783,2014,122,1100,283.36,97.0,1031.0,1.0,F
3033,2015,156,1700,289.53,79.0,1023.0,1.0,F
2902,2012,276,100,289.32,76.0,1011.0,1.0,F
2812,2014,336,400,286.46,92.0,1029.0,2.0,F
537,2014,112,400,285.98,71.0,1016.0,3.0,T
2596,2017,63,1600,283.61,87.0,1016.0,1.0,F
5408,2015,338,700,281.71,100.0,1030.0,2.0,F
3772,2017,180,1300,286.56,78.0,1020.0,2.0,F
5526,2013,332,800,282.86,71.0,1011.0,1.0,F
1250,2017,156,1300,286.26,83.0,1014.0,3.0,F
4776,2015,152,1000,285.46,97.0,1028.0,2.0,F
554,2015,193,1600,291.64,70.0,1017.0,3.0,T
3802,2013,9,1000,280.07,87.0,1023.0,0.0,F
4889,2013,44,300,282.94,81.0,1023.0,5.0,F
5196,2014,321,600,284.38,93.0,1037.0,1.0,F
2704,2013,86,1800,286.01,71.0,1017.0,1.0,F
896,2017,108,2100,292.54,63.0,1019.0,3.0,F
3517,2013,46,900,279.48,81.0,1024.0,1.0,F
5813,2015,9,2100,286.9,86.0,1029.0,1.0,F
1438,2016,36,2200,288.85,19.0,1029.0,1.0,F
3640,2015,69,1700,284.44,100.0,1028.0,1.0,F
2723,2012,365,300,280.58,66.0,1018.0,2.0,F
5544,2017,252,800,289.98,99.0,1013.0,1.0,F
3783,2013,192,0,300.89,80.0,1016.0,1.0,F
3261,2015,292,1300,287.96,89.0,1018.0,4.0,F
3923,2015,327,900,282.94,95.0,1018.0,0.0,F
2874,2017,210,2100,296.44,56.0,1015.0,3.0,F
82,2013,128,1600,289.03,82.0,1017.0,2.0,T
3955,2015,153,1400,286.18,96.0,1031.0,1.0,F
2270,2013,67,1600,280.39,75.0,1015.0,2.0,F
3097,2017,223,600,288.98,93.0,1015.0,4.0,F
1606,2014,184,1700,291.27,66.0,1012.0,1.0,F
3720,2017,269,1000,288.44,48.0,1011.0,1.0,F
5561,2016,89,1800,287.4,21.0,1022.0,5.0,F
4449,2015,237,600,289.91,77.0,1016.0,3.0,F
1240,2016,92,400,286.38,84.0,1007.0,5.0,F
5605,2014,117,700,284.06,66.0,1019.0,3.0,F
4215,2015,8,2200,286.21,85.0,1030.0,1.0,F
2772,2016,131,100,292.3,77.0,1014.0,7.0,F
3387,2015,255,1500,288.64,87.0,1015.0,3.0,F
4106,2015,286,1400,288.71,68.0,1016.0,0.0,F
3924,2017,53,100,285.77,81.0,1022.0,5.0,F
2693,2015,240,500,296.01,56.0,1015.0,3.0,F
2139,2017,295,1900,290.31,72.0,1027.0,5.0,F
3181,2017,20,2300,284.2,59.0,1008.0,3.0,F
4869,2015,78,300,287.67,84.0,1030.0,2.0,F
2929,2015,51,1700,284.16,100.0,1030.0,1.0,F
5738,2016,361,1700,279.36,72.0,1028.0,4.0,F
4352,2015,217,1700,294.31,77.0,1018.0,4.0,F
1209,2017,275,200,293.94,67.0,1011.0,5.0,F
5339,2016,314,0,296.6,68.0,1019.0,2.0,F
4414,2016,106,1200,281.86,81.0,1021.0,3.0,F
541,2013,113,700,288.67,58.0,1015.0,0.0,T
1349,2017,204,300,301.18,36.0,1010.0,2.0,F
1385,2012,305,400,287.34,87.0,1018.0,7.0,F
99,2013,97,900,285.03,93.0,1023.0,3.0,T
4643,2014,72,900,285.69,88.0,1009.0,2.0,F
