,year,doy,hourmin,temperature,humidity,pressure,wind,firecount
3495,2016,246,500,289.12,77.0,1014.0,3.0,F
3589,2014,20,100,288.79,55.0,1016.0,0.0,F
781,2013,240,200,294.89,62.0,1011.0,2.0,F
5575,2016,274,1900,291.96,58.0,1018.0,1.0,F
4460,2014,71,900,286.93,41.0,1017.0,7.0,F
1711,2017,26,0,285.76,93.0,1007.0,2.0,F
581,2015,24,1600,283.13,94.0,1037.0,2.0,F
4882,2016,322,700,281.31,58.0,1019.0,2.0,F
1977,2016,244,1200,288.06,82.0,1013.0,8.0,F
943,2016,267,300,289.58,72.0,1015.0,5.0,F
894,2014,130,1700,288.03,69.0,1024.0,5.0,F
4423,2015,32,2200,288.42,77.0,1034.0,1.0,F
353,2015,329,2100,284.32,79.0,1022.0,4.0,F
1250,2016,173,2100,305.87,56.0,1014.0,1.0,F
215,2015,163,700,286.33,98.0,1023.0,1.0,T
1048,2016,187,1600,288.77,67.0,1016.0,1.0,F
5107,2017,17,800,280.43,94.0,1009.0,1.0,F
899,2016,278,1800,290.46,62.0,1016.0,1.0,F
4300,2014,132,1100,281.76,97.0,1022.0,1.0,F
2273,2017,54,1300,278.89,100.0,1023.0,3.0,F
4889,2013,329,700,277.94,80.0,1023.0,1.0,F
5829,2015,333,100,285.26,78.0,1022.0,4.0,F
5318,2015,233,200,292.55,72.0,1011.0,6.0,F
4521,2013,190,900,286.5,95.0,1012.0,0.0,F
2101,2013,180,100,300.19,69.0,1017.0,2.0,F
3153,2012,315,900,280.92,76.0,1013.0,0.0,F
1279,2015,159,300,289.74,78.0,1024.0,1.0,F
5063,2015,94,1500,284.45,85.0,1031.0,3.0,F
4855,2016,334,1400,279.31,81.0,1019.0,1.0,F
3826,2016,223,800,288.31,86.0,1008.0,0.0,F
4779,2016,331,700,282.72,99.0,1027.0,2.0,F
5590,2015,139,700,283.98,100.0,1033.0,3.0,F
4549,2014,28,1100,283.28,76.0,1023.0,1.0,F
3705,2016,275,100,289.92,76.0,1016.0,2.0,F
1260,2013,197,0,296.6,91.0,1015.0,2.0,F
3714,2014,192,400,290.45,83.0,1012.0,2.0,F
1859,2013,295,200,286.67,58.0,1012.0,1.0,F
4278,2015,160,600,290.95,78.0,1022.0,1.0,F
2627,2015,229,2200,305.49,89.0,1008.0,5.0,F
2415,2017,275,200,293.94,67.0,1011.0,5.0,F
3229,2015,334,800,277.37,87.0,1016.0,2.0,F
3631,2017,193,1600,291.7,65.0,1022.0,1.0,F
4378,2016,203,1000,286.36,82.0,1018.0,6.0,F
2823,2017,53,600,283.61,81.0,1024.0,2.0,F
2040,2016,283,2100,295.94,47.0,1019.0,1.0,F
5379,2014,28,900,283.6,81.0,1023.0,2.0,F
5212,2016,322,400,284.95,62.0,1019.0,7.0,F
4573,2014,98,500,290.6,88.0,1009.0,0.0,F
1762,2014,349,1200,284.29,100.0,1025.0,5.0,F
1301,2014,106,2200,296.66,74.0,1007.0,3.0,F
3492,2013,212,700,287.02,89.0,1015.0,2.0,F
4054,2013,34,2300,287.12,71.0,1024.0,3.0,F
1186,2015,318,1900,287.2,15.0,1029.0,2.0,F
1767,2017,76,2100,293.8,48.0,1017.0,1.0,F
5257,2014,274,2100,295.36,55.0,1025.0,3.0,F
1541,2016,335,500,281.72,82.0,1007.0,2.0,F
2575,2015,231,500,290.71,82.0,1013.0,3.0,F
3444,2017,169,600,296.48,83.0,1010.0,1.0,F
3989,2015,254,1300,290.02,94.0,1012.0,3.0,F
1805,2014,305,1300,285.89,100.0,1021.0,4.0,F
4685,2013,77,1900,288.29,69.0,1021.0,3.0,F
4021,2017,225,1900,293.09,77.0,1015.0,2.0,F
453,2013,330,0,286.07,66.0,1024.0,1.0,F
5875,2017,52,2300,286.61,67.0,1022.0,4.0,F
2635,2016,50,2000,289.43,18.0,1022.0,9.0,F
20,2015,317,1100,279.56,96.0,1026.0,0.0,T
3649,2015,72,1400,284.71,98.0,1034.0,1.0,F
5618,2016,224,1800,294.47,90.0,1015.0,1.0,F
4706,2016,20,1000,282.81,88.0,1023.0,1.0,F
3152,2012,342,800,286.33,93.0,1021.0,2.0,F
504,2014,90,1300,281.66,81.0,1015.0,3.0,F
4707,2013,153,300,295.22,53.0,1017.0,0.0,F
3574,2014,174,300,287.77,75.0,1013.0,1.0,F
2257,2013,200,700,286.8,98.0,1019.0,1.0,F
5283,2013,38,1100,279.29,81.0,1021.0,0.0,F
698,2014,340,400,288.07,95.0,1030.0,5.0,F
577,2013,193,200,293.89,95.0,1013.0,2.0,F
4246,2016,121,500,286.87,71.0,1015.0,12.0,F
3433,2015,33,1400,281.75,99.0,1034.0,1.0,F
931,2015,65,300,287.14,78.0,1039.0,1.0,F
922,2017,109,1100,283.81,87.0,1023.0,1.0,F
3547,2015,222,1000,289.72,82.0,1013.0,2.0,F
4990,2017,49,1800,283.92,99.0,1007.0,6.0,F
936,2013,27,1100,283.33,81.0,1017.0,4.0,F
2506,2012,357,1300,284.55,62.0,1014.0,8.0,F
5644,2015,286,2100,303.91,64.0,1015.0,3.0,F
525,2015,105,100,288.11,62.0,1038.0,4.0,F
37,2013,293,700,285.31,89.0,1022.0,1.0,T
3915,2015,142,2300,288.0,83.0,1029.0,5.0,F
90,2013,127,1100,287.28,77.0,1011.0,0.0,T
152,2015,156,400,288.89,76.0,1022.0,2.0,T
2110,2014,49,2100,289.55,82.0,1021.0,2.0,F
693,2016,200,500,286.49,97.0,1019.0,2.0,F
3877,2012,275,1800,289.42,83.0,1010.0,2.0,F
72,2013,81,1100,281.21,81.0,1021.0,6.0,T
3465,2015,165,800,286.64,100.0,1021.0,3.0,F
1425,2013,336,1500,280.47,97.0,1022.0,0.0,F
5248,2012,349,2200,284.62,54.0,1012.0,3.0,F
3682,2017,37,2300,287.92,87.0,1012.0,4.0,F
2592,2014,328,1400,280.54,100.0,1041.0,1.0,F
5501,2012,307,2000,290.75,77.0,1017.0,2.0,F
2658,2017,174,300,299.31,83.0,1011.0,4.0,F
4132,2016,255,1600,288.51,72.0,1019.0,2.0,F
2778,2014,211,2300,300.48,74.0,1009.0,4.0,F
1028,2013,5,400,279.53,70.0,1024.0,1.0,F
4649,2016,361,1100,278.04,70.0,1023.0,3.0,F
5855,2013,307,200,287.15,83.0,1027.0,2.0,F
3916,2013,320,700,281.74,85.0,1007.0,1.0,F
2505,2015,184,2000,299.47,60.0,1014.0,7.0,F
316,2015,6,800,281.17,100.0,1037.0,3.0,F
4151,2013,66,800,282.7,76.0,1011.0,11.0,F
3027,2015,20,800,281.92,100.0,1035.0,1.0,F
2931,2013,46,1500,279.56,87.0,1024.0,0.0,F
5026,2012,288,2300,295.17,43.0,1023.0,7.0,F
1876,2015,73,600,287.51,86.0,1033.0,1.0,F
346,2013,94,500,284.46,81.0,1021.0,9.0,F
5740,2015,235,1900,295.77,53.0,1017.0,4.0,F
1723,2015,147,400,285.26,95.0,1028.0,4.0,F
1692,2012,350,1600,279.55,75.0,1011.0,0.0,F
1935,2015,218,600,292.54,83.0,1007.0,4.0,F
5053,2015,128,1300,282.72,99.0,1022.0,2.0,F
3423,2017,237,600,289.59,72.0,1011.0,1.0,F
4397,2014,114,200,288.62,59.0,1019.0,11.0,F
2303,2012,334,1200,286.0,67.0,1013.0,6.0,F
2874,2016,257,1600,287.55,82.0,1013.0,4.0,F
4810,2017,77,1500,285.72,50.0,1018.0,2.0,F
2583,2017,43,2300,290.39,59.0,1022.0,7.0,F
974,2013,291,2000,294.11,84.0,1018.0,0.0,F
4146,2015,239,1400,289.34,82.0,1017.0,6.0,F
574,2016,125,0,294.87,83.0,1011.0,3.0,F
2470,2012,365,2000,283.06,70.0,1017.0,2.0,F
3367,2013,174,1500,289.56,85.0,1014.0,1.0,F
3949,2017,220,2100,295.5,70.0,1015.0,2.0,F
334,2013,277,1900,296.57,25.0,1019.0,2.0,F
258,2013,319,2000,289.33,75.0,1010.0,1.0,T
5726,2014,320,2100,286.86,80.0,1037.0,3.0,F
1406,2014,344,400,285.97,96.0,1032.0,1.0,F
2593,2014,360,1300,282.38,99.0,1035.0,6.0,F
5957,2013,138,1000,285.44,76.0,1016.0,6.0,F
2161,2013,337,700,285.86,88.0,1017.0,1.0,F
341,2014,26,1000,283.28,55.0,1018.0,0.0,F
5519,2013,339,700,274.69,58.0,1019.0,0.0,F
5569,2016,103,300,288.73,72.0,1020.0,3.0,F
4792,2016,96,1700,291.62,32.0,1027.0,3.0,F
4267,2013,13,1100,276.81,82.0,1029.0,1.0,F
1586,2017,224,1200,288.16,98.0,1013.0,3.0,F
4099,2016,138,2100,304.11,66.0,1007.0,7.0,F
5415,2016,70,0,290.63,77.0,1018.0,2.0,F
3261,2013,330,2100,286.39,55.0,1020.0,1.0,F
2531,2015,337,1000,279.72,92.0,1022.0,2.0,F
2720,2014,194,1700,293.5,62.0,1016.0,1.0,F
2259,2016,269,900,289.91,67.0,1015.0,0.0,F
4499,2015,72,100,290.32,75.0,1034.0,2.0,F
1235,2013,277,1400,289.21,37.0,1017.0,1.0,F
1413,2013,331,1100,281.19,81.0,1015.0,1.0,F
1621,2015,208,2200,305.38,39.0,1013.0,7.0,F
694,2013,203,1100,286.23,88.0,1006.0,1.0,F
583,2017,165,1000,286.66,88.0,1017.0,1.0,F
4778,2017,222,900,289.24,100.0,1014.0,4.0,F
5670,2013,204,1400,287.93,89.0,1012.0,0.0,F
5057,2014,25,600,284.1,55.0,1023.0,1.0,F
472,2012,327,0,289.77,72.0,1018.0,6.0,F
404,2016,352,1900,282.38,42.0,1026.0,5.0,F
5655,2016,34,1700,280.98,44.0,1014.0,3.0,F
3848,2013,1,100,283.37,62.0,1019.0,3.0,F
4135,2015,67,2100,289.07,81.0,1031.0,1.0,F
5323,2015,272,1200,287.07,82.0,1014.0,3.0,F
2129,2017,109,1900,292.08,72.0,1024.0,4.0,F
5435,2014,211,300,293.12,72.0,1028.0,2.0,F
204,2014,29,1800,288.1,93.0,1022.0,2.0,T
1582,2016,109,300,295.52,83.0,1010.0,5.0,F
4665,2017,146,2100,292.06,39.0,1014.0,6.0,F
770,2017,75,1800,289.69,82.0,1024.0,2.0,F
2616,2017,253,200,296.86,82.0,1014.0,4.0,F
4618,2015,57,0,287.45,85.0,1034.0,2.0,F
3094,2013,259,2200,292.98,72.0,1024.0,2.0,F
3781,2016,292,600,284.91,97.0,1023.0,2.0,F
4813,2017,255,700,293.93,86.0,1011.0,1.0,F
2554,2017,120,2300,298.23,83.0,1009.0,3.0,F
1102,2017,93,500,289.61,78.0,1015.0,2.0,F
4800,2014,304,1400,288.0,99.0,1023.0,4.0,F
4548,2014,245,1100,287.14,100.0,1021.0,1.0,F
3876,2013,297,2100,286.4,78.0,1016.0,1.0,F
5231,2015,169,300,289.32,82.0,1025.0,2.0,F
2546,2013,99,1800,286.18,58.0,1016.0,11.0,F
2063,2017,138,0,295.89,84.0,1010.0,3.0,F
1261,2016,256,1300,286.37,76.0,1013.0,4.0,F
2092,2012,287,700,286.39,71.0,1015.0,3.0,F
4789,2017,173,1100,292.48,94.0,1010.0,1.0,F
237,2014,176,1400,286.63,92.0,1017.0,2.0,T
104,2014,189,2000,296.41,53.0,1011.0,3.0,T
1299,2017,89,300,290.78,64.0,1013.0,2.0,F
3111,2013,156,700,285.48,76.0,1012.0,3.0,F
4062,2013,189,500,287.56,95.0,1009.0,1.0,F
5333,2016,287,1600,286.17,99.0,1023.0,1.0,F
5162,2015,296,2200,292.61,74.0,1029.0,1.0,F
520,2015,244,1200,288.98,89.0,1017.0,2.0,F
456,2013,241,2300,299.36,78.0,1011.0,2.0,F
5147,2017,37,600,285.93,81.0,1022.0,2.0,F
2240,2014,325,1500,283.79,100.0,1032.0,1.0,F
4182,2014,99,2200,294.08,79.0,1008.0,3.0,F
3862,2013,34,100,288.23,72.0,1021.0,3.0,F
769,2015,267,200,296.19,83.0,1007.0,1.0,F
5555,2013,71,2200,291.52,61.0,1027.0,5.0,F
505,2017,47,200,286.48,85.0,1021.0,3.0,F
4195,2014,98,400,291.95,88.0,1011.0,1.0,F
5033,2014,103,1100,284.27,76.0,1015.0,3.0,F
5229,2015,14,1800,282.75,97.0,1036.0,2.0,F
4317,2015,68,1800,285.79,93.0,1029.0,1.0,F
4219,2016,105,1200,283.68,71.0,1019.0,7.0,F
5944,2016,102,1100,285.0,79.0,1020.0,2.0,F
5001,2016,325,600,287.55,93.0,1014.0,4.0,F
1415,2012,310,1700,289.62,72.0,1022.0,0.0,F
672,2015,115,1900,286.32,94.0,1028.0,5.0,F
1654,2013,365,1600,278.23,55.0,1022.0,1.0,F
1366,2017,285,2300,295.32,12.0,1018.0,5.0,F
801,2015,6,1500,281.67,100.0,1037.0,2.0,F
2258,2014,131,400,286.81,48.0,1018.0,1.0,F
161,2013,174,500,289.21,91.0,1014.0,1.0,T
